num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba50_1k_4.pickle
../data/final/edges_ba50.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 35 - 708646b1c1eecab2. Mean loss in evaluation epoch: 0.11999505758285522, epochs needed: 200
evaluating individudal 36 - 56df90014e1a851f. Mean loss in evaluation epoch: 0.11327250301837921, epochs needed: 200
evaluating individudal 37 - 19ecd3422d8267a8. Mean loss in evaluation epoch: 0.11787207424640656, epochs needed: 200
evaluating individudal 38 - 38749cfa2feeeed5. Mean loss in evaluation epoch: 0.11609635502099991, epochs needed: 200
evaluating individudal 39 - 290f70242fe3ff90. Mean loss in evaluation epoch: 0.11567454785108566, epochs needed: 200
evaluating individudal 0 - a9b2b29bed6a476f. Mean loss in evaluation epoch: 0.1232636496424675, epochs needed: 200
evaluating individudal 1 - 667a00f51558794f. Mean loss in evaluation epoch: 0.11361370235681534, epochs needed: 200
evaluating individudal 2 - a6cbf973bc3efc81. Mean loss in evaluation epoch: 0.1269533783197403, epochs needed: 200
evaluating individudal 3 - adc51f47dd9b5482. Mean loss in evaluation epoch: 0.12254452705383301, epochs needed: 200
evaluating individudal 4 - 00d5b993acc1edb6. Mean loss in evaluation epoch: 0.12963713705539703, epochs needed: 200
evaluating individudal 5 - dbffe9b07b60929f. Mean loss in evaluation epoch: 0.12258002907037735, epochs needed: 200
evaluating individudal 6 - 3ce8899ce758aecb. Mean loss in evaluation epoch: 0.12930415570735931, epochs needed: 200
evaluating individudal 7 - f688f29084d98403. Mean loss in evaluation epoch: 0.12843306362628937, epochs needed: 200
evaluating individudal 8 - 5589313ec345af03. Mean loss in evaluation epoch: 0.11561091989278793, epochs needed: 200
evaluating individudal 9 - e0ad8a7c676f59cf. Mean loss in evaluation epoch: 0.11941955238580704, epochs needed: 200
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 56df90014e1a851f, num_times_seen_before: 0
ACC: 0.4253061224489796
TPR/FPR: 0.625, 0.591674047829938
Loss: 0.11327250301837921
Timestamp: 13064.245442671003
---------------------------------------------------------------
evaluating individudal 0 - 898aa219ce99e7f6. Mean loss in evaluation epoch: 0.1155436784029007, epochs needed: 50
evaluating individudal 1 - 48750a18fde23a62. Mean loss in evaluation epoch: 0.11915109306573868, epochs needed: 50
evaluating individudal 2 - 628a9122dcba6d36. Mean loss in evaluation epoch: 0.11184244602918625, epochs needed: 50
evaluating individudal 3 - ae2575f56842a4a9. Mean loss in evaluation epoch: 0.11568218469619751, epochs needed: 50
evaluating individudal 4 - 9f7ca763ebc5b957. Mean loss in evaluation epoch: 0.11188848316669464, epochs needed: 50
evaluating individudal 5 - a9409bd901454424. Mean loss in evaluation epoch: 0.1140652447938919, epochs needed: 50
evaluating individudal 6 - 2758aa9e90cfdb57. Mean loss in evaluation epoch: 0.12646912038326263, epochs needed: 50
evaluating individudal 7 - 52abef2aab1990ed. Mean loss in evaluation epoch: 0.13081400096416473, epochs needed: 50
evaluating individudal 8 - 776bfb107e8c1fce. Mean loss in evaluation epoch: 0.11469055712223053, epochs needed: 50
evaluating individudal 9 - 8332e5ba7636d438. Mean loss in evaluation epoch: 0.11513353884220123, epochs needed: 50
evaluating individudal 10 - 9c9d94756b9af23c. Mean loss in evaluation epoch: 0.11260402202606201, epochs needed: 50
evaluating individudal 11 - 372059717c5f1ac7. Mean loss in evaluation epoch: 0.11201254278421402, epochs needed: 50
evaluating individudal 12 - d7559c0a1b8c4ce7. Mean loss in evaluation epoch: 0.11342673748731613, epochs needed: 50
evaluating individudal 13 - 42cb47dd88fda338. Mean loss in evaluation epoch: 0.1123696118593216, epochs needed: 50
evaluating individudal 14 - 938ab9eaee4ab8a3. Mean loss in evaluation epoch: 0.11570489406585693, epochs needed: 50
evaluating individudal 15 - d963c34e6bf41ac4. Mean loss in evaluation epoch: 0.11189305782318115, epochs needed: 50
evaluating individudal 16 - 422ecc7ecf82e1b0. Mean loss in evaluation epoch: 0.10975652188062668, epochs needed: 50
evaluating individudal 17 - 5d988738281592f5. Mean loss in evaluation epoch: 0.12841816246509552, epochs needed: 50
evaluating individudal 18 - da9b56e580d66671. Mean loss in evaluation epoch: 0.10876428335905075, epochs needed: 50
evaluating individudal 19 - a97d2a999bf86eb8. Mean loss in evaluation epoch: 0.11091232299804688, epochs needed: 50
evaluating individudal 20 - 970463519e5cd8a7. Mean loss in evaluation epoch: 0.10964939743280411, epochs needed: 50
evaluating individudal 21 - 53c56996d00158d9. Mean loss in evaluation epoch: 0.1125316172838211, epochs needed: 50
evaluating individudal 22 - 94f5edb68241cc28. Mean loss in evaluation epoch: 0.11392533034086227, epochs needed: 50
evaluating individudal 23 - 93587b97e9c698e1. Mean loss in evaluation epoch: 0.11266932636499405, epochs needed: 50
evaluating individudal 24 - 74e68e1500bd49ee. Mean loss in evaluation epoch: 0.1101810485124588, epochs needed: 50
evaluating individudal 25 - f663ea713006716e. Mean loss in evaluation epoch: 0.10815755277872086, epochs needed: 50
evaluating individudal 26 - 9737bb35f235cc66. Mean loss in evaluation epoch: 0.11269526928663254, epochs needed: 50
evaluating individudal 27 - 6d25acc5edf2d7ae. Mean loss in evaluation epoch: 0.11123118549585342, epochs needed: 50
evaluating individudal 28 - 0caa4ce0dda5ac41. Mean loss in evaluation epoch: 0.1120949536561966, epochs needed: 50
evaluating individudal 29 - 92c529d600b3e9c1. Mean loss in evaluation epoch: 0.11237789690494537, epochs needed: 50
evaluating individudal 30 - 93732ddf06a509e2. Mean loss in evaluation epoch: 0.10925936698913574, epochs needed: 50
evaluating individudal 31 - a829443a8fb176bb. Mean loss in evaluation epoch: 0.12579798698425293, epochs needed: 50
evaluating individudal 32 - 02f3717af210c5f8. Mean loss in evaluation epoch: 0.11361229419708252, epochs needed: 50
evaluating individudal 33 - 3aa0ee5d8328719e. Mean loss in evaluation epoch: 0.11103158444166183, epochs needed: 50
evaluating individudal 34 - 2b5c0c2d6ff65338. Mean loss in evaluation epoch: 0.12318110466003418, epochs needed: 50
evaluating individudal 35 - 01c67617145b1869. Mean loss in evaluation epoch: 0.11076207458972931, epochs needed: 50
evaluating individudal 36 - ef62962d2c0caea0. Mean loss in evaluation epoch: 0.1303468495607376, epochs needed: 50
evaluating individudal 37 - e039138013f7b0fd. Mean loss in evaluation epoch: 0.12145649641752243, epochs needed: 50
evaluating individudal 38 - 98043fe7b225edd6. Mean loss in evaluation epoch: 0.10913199186325073, epochs needed: 50
evaluating individudal 39 - 3b149f253dc96c2a. Mean loss in evaluation epoch: 0.11141257733106613, epochs needed: 50
evaluating individudal 0 - 56df90014e1a851f. Mean loss in evaluation epoch: 0.11014886200428009, epochs needed: 50
evaluating individudal 1 - 933edd7ef269fb38. Mean loss in evaluation epoch: 0.11177734285593033, epochs needed: 50
evaluating individudal 2 - 667a00f51558794f. Mean loss in evaluation epoch: 0.12767058610916138, epochs needed: 50
evaluating individudal 3 - 7ad07e476059b0ce. Mean loss in evaluation epoch: 0.12017925083637238, epochs needed: 50
evaluating individudal 4 - 5589313ec345af03. Mean loss in evaluation epoch: 0.1086006686091423, epochs needed: 50
evaluating individudal 5 - 290f70242fe3ff90. Mean loss in evaluation epoch: 0.10905402153730392, epochs needed: 50
evaluating individudal 6 - ee7e7a65ce3a59fc. Mean loss in evaluation epoch: 0.11162038147449493, epochs needed: 50
evaluating individudal 7 - 38749cfa2feeeed5. Mean loss in evaluation epoch: 0.10968770831823349, epochs needed: 50
evaluating individudal 8 - 19f61ceda23c4447. Mean loss in evaluation epoch: 0.11114561557769775, epochs needed: 50
evaluating individudal 9 - 7973c4d7dba1ebed. Mean loss in evaluation epoch: 0.10949313640594482, epochs needed: 50
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: f663ea713006716e, num_times_seen_before: 0
ACC: 0.4130612244897959
TPR/FPR: 0.6666666666666666, 0.608503100088574
Loss: 0.10815755277872086
Timestamp: 16384.574408111977
---------------------------------------------------------------
evaluating individudal 0 - f0d40d83358dbae1. Mean loss in evaluation epoch: 0.11681225150823593, epochs needed: 50
evaluating individudal 1 - d32383c7c3ba3d5a. Mean loss in evaluation epoch: 0.11811917275190353, epochs needed: 50
evaluating individudal 2 - b95833509cedadf8. Mean loss in evaluation epoch: 0.11919969320297241, epochs needed: 50
evaluating individudal 3 - 2a058e34541af4fe. Mean loss in evaluation epoch: 0.11912969499826431, epochs needed: 50
evaluating individudal 4 - 1827a04535ed57a1. Mean loss in evaluation epoch: 0.1084500104188919, epochs needed: 50
evaluating individudal 5 - 80e5493a8c93f6d8. Mean loss in evaluation epoch: 0.11128021776676178, epochs needed: 50
evaluating individudal 6 - 16e50fba52ec1427. Mean loss in evaluation epoch: 0.10849430412054062, epochs needed: 50
evaluating individudal 7 - b4728944d4f2dac1. Mean loss in evaluation epoch: 0.10909125953912735, epochs needed: 50
evaluating individudal 8 - 6bea6ab5b198fb56. Mean loss in evaluation epoch: 0.11402767896652222, epochs needed: 50
evaluating individudal 9 - 5150f14acdc0c634. Mean loss in evaluation epoch: 0.11445625871419907, epochs needed: 50
evaluating individudal 10 - 0842638dcc7f9b27. Mean loss in evaluation epoch: 0.10870790481567383, epochs needed: 50
evaluating individudal 11 - a387bd088f3e9669. Mean loss in evaluation epoch: 0.10906791687011719, epochs needed: 50
evaluating individudal 12 - 74b308371dbc04f1. Mean loss in evaluation epoch: 0.10862655937671661, epochs needed: 50
evaluating individudal 13 - 03af9d1a13c0a636. Mean loss in evaluation epoch: 0.11572907119989395, epochs needed: 50
evaluating individudal 14 - f18f4342ab4b601d. Mean loss in evaluation epoch: 0.10788819938898087, epochs needed: 50
evaluating individudal 15 - 81a7276a111cb9c2. Mean loss in evaluation epoch: 0.10807131975889206, epochs needed: 50
evaluating individudal 16 - 282754c7732035cb. Mean loss in evaluation epoch: 0.11347844451665878, epochs needed: 50
evaluating individudal 17 - b363797bcc6081d5. Mean loss in evaluation epoch: 0.11150822788476944, epochs needed: 50
evaluating individudal 18 - c107f10f26c3009a. Mean loss in evaluation epoch: 0.11117773503065109, epochs needed: 50
evaluating individudal 19 - f6bcc3792ce68201. Mean loss in evaluation epoch: 0.11030866950750351, epochs needed: 50
evaluating individudal 20 - ad509ccaea93d4c4. Mean loss in evaluation epoch: 0.11817623674869537, epochs needed: 50
evaluating individudal 21 - 01f9a95a7d15fc6e. Mean loss in evaluation epoch: 0.107798732817173, epochs needed: 50
evaluating individudal 22 - 9c199b4f5250b75c. Mean loss in evaluation epoch: 0.10966280847787857, epochs needed: 50
evaluating individudal 23 - 3cfaf59ac26893fc. Mean loss in evaluation epoch: 0.10838198661804199, epochs needed: 50
evaluating individudal 24 - deead11590139273. Mean loss in evaluation epoch: 0.11034919321537018, epochs needed: 50
evaluating individudal 25 - 7748b0b9553ac520. Mean loss in evaluation epoch: 0.10861045122146606, epochs needed: 50
evaluating individudal 26 - e895989945f383ea. Mean loss in evaluation epoch: 0.11034800857305527, epochs needed: 50
evaluating individudal 27 - 6654a98420c7aa0f. Mean loss in evaluation epoch: 0.13880157470703125, epochs needed: 50
evaluating individudal 28 - 73b77cb05bd32f4e. Mean loss in evaluation epoch: 0.10804922878742218, epochs needed: 50
evaluating individudal 29 - 6ad33c3bf2622dac. Mean loss in evaluation epoch: 0.108591727912426, epochs needed: 50
evaluating individudal 30 - 1266ed2c5468dd97. Mean loss in evaluation epoch: 0.10877251625061035, epochs needed: 50
evaluating individudal 31 - b1904932821e19e1. Mean loss in evaluation epoch: 0.10783549398183823, epochs needed: 50
evaluating individudal 32 - d097fcf2300d295b. Mean loss in evaluation epoch: 0.10803099721670151, epochs needed: 50
evaluating individudal 33 - 7f6ac91697c66a4e. Mean loss in evaluation epoch: 0.10723014175891876, epochs needed: 50
evaluating individudal 34 - 0ecb12084f5b080c. Mean loss in evaluation epoch: 0.10727401077747345, epochs needed: 50
evaluating individudal 35 - 3f01f155d01bc810. Mean loss in evaluation epoch: 0.10893099755048752, epochs needed: 50
evaluating individudal 36 - a9ee9946791f9dde. Mean loss in evaluation epoch: 0.10726092010736465, epochs needed: 50
evaluating individudal 37 - cdee9f85e5ba40fc. Mean loss in evaluation epoch: 0.10730989277362823, epochs needed: 50
evaluating individudal 38 - 3d0e803b5207fba5. Mean loss in evaluation epoch: 0.11032278835773468, epochs needed: 50
evaluating individudal 39 - 02f7ff980dfba5bb. Mean loss in evaluation epoch: 0.106931172311306, epochs needed: 50
evaluating individudal 0 - f663ea713006716e. Mean loss in evaluation epoch: 0.10638709366321564, epochs needed: 50
evaluating individudal 1 - 5589313ec345af03. Mean loss in evaluation epoch: 0.10750067234039307, epochs needed: 50
evaluating individudal 2 - da9b56e580d66671. Mean loss in evaluation epoch: 0.10767006129026413, epochs needed: 50
evaluating individudal 3 - 290f70242fe3ff90. Mean loss in evaluation epoch: 0.1103864461183548, epochs needed: 50
evaluating individudal 4 - 98043fe7b225edd6. Mean loss in evaluation epoch: 0.1072121188044548, epochs needed: 50
evaluating individudal 5 - 93732ddf06a509e2. Mean loss in evaluation epoch: 0.10894632339477539, epochs needed: 50
evaluating individudal 6 - 7973c4d7dba1ebed. Mean loss in evaluation epoch: 0.1080499216914177, epochs needed: 50
evaluating individudal 7 - 970463519e5cd8a7. Mean loss in evaluation epoch: 0.10769311338663101, epochs needed: 50
evaluating individudal 8 - 38749cfa2feeeed5. Mean loss in evaluation epoch: 0.10708979517221451, epochs needed: 50
evaluating individudal 9 - 422ecc7ecf82e1b0. Mean loss in evaluation epoch: 0.10707968473434448, epochs needed: 50
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: f663ea713006716e, num_times_seen_before: 1
ACC: 0.4130612244897959
TPR/FPR: 0.6666666666666666, 0.608503100088574
Loss: 0.10638709366321564
Timestamp: 19714.317653115955
---------------------------------------------------------------
evaluating individudal 0 - 5651c6780a631e71. Mean loss in evaluation epoch: 0.10673520714044571, epochs needed: 50
evaluating individudal 1 - 868974291dd2b90c. Mean loss in evaluation epoch: 0.10569822788238525, epochs needed: 50
evaluating individudal 2 - cbdddb5d0207e82e. Mean loss in evaluation epoch: 0.10620583593845367, epochs needed: 50
evaluating individudal 3 - cb18c6ad49ea9ed5. Mean loss in evaluation epoch: 0.10753633826971054, epochs needed: 50
evaluating individudal 4 - e3ad88f7eeed9b40. Mean loss in evaluation epoch: 0.10671603679656982, epochs needed: 50
