../data/final/netrd/SIS/timeseries_bull_200_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 1000
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 200
NUM_TRAIN_SAMPLES: 159
NUM_TRAIN_BATCHES: 2
NUM_TEST_SAMPLES: 40
NUM_TEST_BATCHES: 1
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 1000
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 57, run 0. Mean loss in evaluation epoch: 0.4938087463378906, epochs needed: 1000
evaluating: matrix 58, run 0. Mean loss in evaluation epoch: 0.4901905357837677, epochs needed: 1000
evaluating: matrix 59, run 0. Mean loss in evaluation epoch: 0.4477078914642334, epochs needed: 1000
evaluating: matrix 60, run 0. Mean loss in evaluation epoch: 0.46989667415618896, epochs needed: 1000
evaluating: matrix 61, run 0. Mean loss in evaluation epoch: 0.4613852798938751, epochs needed: 1000
evaluating: matrix 62, run 0. Mean loss in evaluation epoch: 0.4580560028553009, epochs needed: 1000
evaluating: matrix 63, run 0. Mean loss in evaluation epoch: 0.4522814154624939, epochs needed: 1000
evaluating: matrix 64, run 0. Mean loss in evaluation epoch: 0.44838330149650574, epochs needed: 1000
evaluating: matrix 65, run 0. Mean loss in evaluation epoch: 0.4618748724460602, epochs needed: 1000
evaluating: matrix 66, run 0. Mean loss in evaluation epoch: 0.4619096517562866, epochs needed: 1000
evaluating: matrix 67, run 0. Mean loss in evaluation epoch: 0.45493996143341064, epochs needed: 1000
evaluating: matrix 68, run 0. Mean loss in evaluation epoch: 0.45489928126335144, epochs needed: 1000
evaluating: matrix 69, run 0. Mean loss in evaluation epoch: 0.4649111032485962, epochs needed: 1000
evaluating: matrix 70, run 0. Mean loss in evaluation epoch: 0.46369513869285583, epochs needed: 1000
evaluating: matrix 71, run 0. Mean loss in evaluation epoch: 0.4550166726112366, epochs needed: 1000
