../data/final/cml/timeseries_bull_5k_4_onetake.pickle
../data/final/cml/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 10
FORMAT: standard
HIDDEN_SIZE: 128
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 4991
NUM_SAMPLES: 4991
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 10
IS_CONTINUOUS: True
NUM_BATCHES: 50
USE_MAX: False
evaluating: matrix 60, run 0. Mean loss in evaluation epoch: 0.18760818243026733, epochs needed: 10
evaluating: matrix 61, run 0. Mean loss in evaluation epoch: 0.19043704867362976, epochs needed: 10
evaluating: matrix 62, run 0. Mean loss in evaluation epoch: 0.1770421415567398, epochs needed: 10
evaluating: matrix 63, run 0. Mean loss in evaluation epoch: 0.16904254257678986, epochs needed: 10
evaluating: matrix 64, run 0. Mean loss in evaluation epoch: 0.21497729420661926, epochs needed: 10
evaluating: matrix 65, run 0. Mean loss in evaluation epoch: 0.2120160460472107, epochs needed: 10
evaluating: matrix 66, run 0. Mean loss in evaluation epoch: 0.21049201488494873, epochs needed: 10
evaluating: matrix 67, run 0. Mean loss in evaluation epoch: 0.2108098566532135, epochs needed: 10
evaluating: matrix 68, run 0. Mean loss in evaluation epoch: 0.17157317698001862, epochs needed: 10
evaluating: matrix 69, run 0. Mean loss in evaluation epoch: 0.19457979500293732, epochs needed: 10
evaluating: matrix 70, run 0. Mean loss in evaluation epoch: 0.18591952323913574, epochs needed: 10
evaluating: matrix 71, run 0. Mean loss in evaluation epoch: 0.18785564601421356, epochs needed: 10
evaluating: matrix 72, run 0. Mean loss in evaluation epoch: 0.2324068546295166, epochs needed: 10
evaluating: matrix 73, run 0. Mean loss in evaluation epoch: 0.2056712508201599, epochs needed: 10
evaluating: matrix 74, run 0. Mean loss in evaluation epoch: 0.20342949032783508, epochs needed: 10
evaluating: matrix 75, run 0. Mean loss in evaluation epoch: 0.19192011654376984, epochs needed: 10
evaluating: matrix 76, run 0. Mean loss in evaluation epoch: 0.19366353750228882, epochs needed: 10
evaluating: matrix 77, run 0. Mean loss in evaluation epoch: 0.18817542493343353, epochs needed: 10
evaluating: matrix 78, run 0. Mean loss in evaluation epoch: 0.19202463328838348, epochs needed: 10
evaluating: matrix 79, run 0. Mean loss in evaluation epoch: 0.20241209864616394, epochs needed: 10
evaluating: matrix 80, run 0. Mean loss in evaluation epoch: 0.17375138401985168, epochs needed: 10
evaluating: matrix 81, run 0. Mean loss in evaluation epoch: 0.212864950299263, epochs needed: 10
evaluating: matrix 82, run 0. Mean loss in evaluation epoch: 0.19343827664852142, epochs needed: 10
