num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_4_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 35 - b695b58a2ba86696. Mean loss in evaluation epoch: 0.1164955422282219, epochs needed: 200
evaluating individudal 36 - 0fad04fb9e4ad84a. Mean loss in evaluation epoch: 0.1140526533126831, epochs needed: 200
evaluating individudal 37 - 434bf2d958a6b730. Mean loss in evaluation epoch: 0.11908549070358276, epochs needed: 200
evaluating individudal 38 - edf4c1e33dfcc86e. Mean loss in evaluation epoch: 0.1166970282793045, epochs needed: 200
evaluating individudal 39 - 6a56b9d6597a1b78. Mean loss in evaluation epoch: 0.11423998326063156, epochs needed: 200
evaluating individudal 0 - d2fed85561e52e67. Mean loss in evaluation epoch: 0.12706832587718964, epochs needed: 200
evaluating individudal 1 - 730fa6e3e638ca71. Mean loss in evaluation epoch: 0.1150614395737648, epochs needed: 200
evaluating individudal 2 - 82ef13213b58adc5. Mean loss in evaluation epoch: 0.11470713466405869, epochs needed: 200
evaluating individudal 3 - be33ea46d45f6b7e. Mean loss in evaluation epoch: 0.12116284668445587, epochs needed: 200
evaluating individudal 4 - 4e1a2f6fa3bb0ffa. Mean loss in evaluation epoch: 0.1153276190161705, epochs needed: 200
evaluating individudal 5 - bacf5b81d242ad94. Mean loss in evaluation epoch: 0.12136238068342209, epochs needed: 200
evaluating individudal 6 - 41a259c8e8096d5f. Mean loss in evaluation epoch: 0.11860886961221695, epochs needed: 200
evaluating individudal 7 - c44aafdb8c601f85. Mean loss in evaluation epoch: 0.12048766762018204, epochs needed: 200
evaluating individudal 8 - 65c9713bbf31ef71. Mean loss in evaluation epoch: 0.13336540758609772, epochs needed: 200
evaluating individudal 9 - 2b55a2153cc58e15. Mean loss in evaluation epoch: 0.11928331851959229, epochs needed: 200
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
