num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 35 - 3c3b62aec9f148d9. Mean loss in evaluation epoch: 0.31986916065216064, epochs needed: 20
evaluating individudal 36 - f21083fe106b2d45. Mean loss in evaluation epoch: 0.31928756833076477, epochs needed: 20
evaluating individudal 37 - 9351cf3804c09944. Mean loss in evaluation epoch: 0.3213178515434265, epochs needed: 20
evaluating individudal 38 - 4426d55f6eb1f988. Mean loss in evaluation epoch: 0.3205949366092682, epochs needed: 20
evaluating individudal 39 - 73f6a66f16099673. Mean loss in evaluation epoch: 0.3200095295906067, epochs needed: 20
evaluating individudal 0 - 4e763b292d202e7e. Mean loss in evaluation epoch: 0.3234268128871918, epochs needed: 20
evaluating individudal 1 - 3acf053db6ef0fc3. Mean loss in evaluation epoch: 0.32351019978523254, epochs needed: 20
evaluating individudal 2 - 79eaeab9da814de3. Mean loss in evaluation epoch: 0.32265791296958923, epochs needed: 20
evaluating individudal 3 - bc4507506e9100e1. Mean loss in evaluation epoch: 0.3224204182624817, epochs needed: 20
evaluating individudal 4 - ba5cbf48c500cf18. Mean loss in evaluation epoch: 0.3234625458717346, epochs needed: 20
evaluating individudal 5 - da96cf4eb21025c8. Mean loss in evaluation epoch: 0.32350340485572815, epochs needed: 20
evaluating individudal 6 - 28dd6828bb4601ba. Mean loss in evaluation epoch: 0.3231128752231598, epochs needed: 20
evaluating individudal 7 - b51c0af5157d2567. Mean loss in evaluation epoch: 0.32338449358940125, epochs needed: 20
evaluating individudal 8 - 4537509c227fff5e. Mean loss in evaluation epoch: 0.32226699590682983, epochs needed: 20
evaluating individudal 9 - 3ced11c338511a8b. Mean loss in evaluation epoch: 0.32197096943855286, epochs needed: 20
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 184ba03f77cd6204, num_times_seen_before: 0
ACC: 0.38421052631578945
TPR/FPR: 0.3055555555555556, 0.5974025974025974
Loss: 0.3186953365802765
Timestamp: 512.362614616999
---------------------------------------------------------------
evaluating individudal 0 - ee1b191796c8597a. Mean loss in evaluation epoch: 0.3202216625213623, epochs needed: 20
evaluating individudal 1 - 6d0e81a4383680e0. Mean loss in evaluation epoch: 0.31978559494018555, epochs needed: 20
evaluating individudal 2 - 066640f55298d6d8. Mean loss in evaluation epoch: 0.31856197118759155, epochs needed: 20
evaluating individudal 3 - ab69c014e05cb398. Mean loss in evaluation epoch: 0.31880518794059753, epochs needed: 20
evaluating individudal 4 - 90bacc9a42cb5b22. Mean loss in evaluation epoch: 0.31909677386283875, epochs needed: 20
evaluating individudal 5 - 63081c65d074784f. Mean loss in evaluation epoch: 0.3181166350841522, epochs needed: 20
evaluating individudal 6 - bb8d600c9644d39c. Mean loss in evaluation epoch: 0.31834834814071655, epochs needed: 20
evaluating individudal 7 - a76a89b7b8a79325. Mean loss in evaluation epoch: 0.3215826451778412, epochs needed: 20
evaluating individudal 8 - b931b8d9704046a3. Mean loss in evaluation epoch: 0.31960177421569824, epochs needed: 20
evaluating individudal 9 - d02575349edaa7b4. Mean loss in evaluation epoch: 0.3191152513027191, epochs needed: 20
evaluating individudal 10 - ed805c113cc23232. Mean loss in evaluation epoch: 0.320666640996933, epochs needed: 20
evaluating individudal 11 - 4efb90134679474c. Mean loss in evaluation epoch: 0.31844362616539, epochs needed: 20
evaluating individudal 12 - ef237e66d6b85b4f. Mean loss in evaluation epoch: 0.31755560636520386, epochs needed: 20
evaluating individudal 13 - 512245045d5ca66d. Mean loss in evaluation epoch: 0.32207298278808594, epochs needed: 20
evaluating individudal 14 - a643048f48df48ee. Mean loss in evaluation epoch: 0.3178273141384125, epochs needed: 20
evaluating individudal 15 - e0b2d8ebb1f63655. Mean loss in evaluation epoch: 0.31857582926750183, epochs needed: 20
