num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 35 - 26e54c3d8b536cde. Mean loss in evaluation epoch: 0.32130593061447144, epochs needed: 20
evaluating individudal 36 - 038d5cc066887ff0. Mean loss in evaluation epoch: 0.3196808099746704, epochs needed: 20
evaluating individudal 37 - 93e2315681ab911e. Mean loss in evaluation epoch: 0.3198457956314087, epochs needed: 20
evaluating individudal 38 - a66790518b55f6e0. Mean loss in evaluation epoch: 0.3201681077480316, epochs needed: 20
evaluating individudal 39 - dcfd7eaea5c04e56. Mean loss in evaluation epoch: 0.32136374711990356, epochs needed: 20
evaluating individudal 0 - ece40c73e5f33f8c. Mean loss in evaluation epoch: 0.32323500514030457, epochs needed: 20
evaluating individudal 1 - 05773d440f55ada8. Mean loss in evaluation epoch: 0.3231775462627411, epochs needed: 20
evaluating individudal 2 - c5b9d533c56fa509. Mean loss in evaluation epoch: 0.3231738209724426, epochs needed: 20
evaluating individudal 3 - 90e467cc5b2ec1a3. Mean loss in evaluation epoch: 0.32320594787597656, epochs needed: 20
evaluating individudal 4 - 0a506d345fa397fa. Mean loss in evaluation epoch: 0.32339802384376526, epochs needed: 20
evaluating individudal 5 - 78c744b681e0fdd1. Mean loss in evaluation epoch: 0.32340314984321594, epochs needed: 20
evaluating individudal 6 - 2931a54003908972. Mean loss in evaluation epoch: 0.32360199093818665, epochs needed: 20
evaluating individudal 7 - d1826ec828ac2d0b. Mean loss in evaluation epoch: 0.32290118932724, epochs needed: 20
evaluating individudal 8 - 0fef32525a4b3127. Mean loss in evaluation epoch: 0.3229469358921051, epochs needed: 20
evaluating individudal 9 - 5b0f257403ff1bec. Mean loss in evaluation epoch: 0.323490709066391, epochs needed: 20
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 26306225f4841d2d, num_times_seen_before: 0
ACC: 0.5631578947368421
TPR/FPR: 0.7777777777777778, 0.487012987012987
Loss: 0.31699514389038086
Timestamp: 509.014191469003
---------------------------------------------------------------
evaluating individudal 0 - ac49769ecc3d97d3. Mean loss in evaluation epoch: 0.3183565139770508, epochs needed: 20
evaluating individudal 1 - f65b3f17a7a22abe. Mean loss in evaluation epoch: 0.3170676827430725, epochs needed: 20
evaluating individudal 2 - 521d259e6505aa23. Mean loss in evaluation epoch: 0.31900084018707275, epochs needed: 20
evaluating individudal 3 - 7e54d62a9af75c3f. Mean loss in evaluation epoch: 0.3162519335746765, epochs needed: 20
evaluating individudal 4 - e4b50e59262c33fd. Mean loss in evaluation epoch: 0.3176925480365753, epochs needed: 20
evaluating individudal 5 - caf915319d5f7488. Mean loss in evaluation epoch: 0.3217286467552185, epochs needed: 20
evaluating individudal 6 - e68ba2afe51f38b7. Mean loss in evaluation epoch: 0.31683361530303955, epochs needed: 20
evaluating individudal 7 - eaf96afc4071ec14. Mean loss in evaluation epoch: 0.3218955397605896, epochs needed: 20
evaluating individudal 8 - 78d30dfdd0325ffb. Mean loss in evaluation epoch: 0.31858235597610474, epochs needed: 20
evaluating individudal 9 - b74a4f15687cc542. Mean loss in evaluation epoch: 0.3194223642349243, epochs needed: 20
evaluating individudal 10 - a567ea1a9f0f4829. Mean loss in evaluation epoch: 0.31772279739379883, epochs needed: 20
evaluating individudal 11 - e04096284a2002cd. Mean loss in evaluation epoch: 0.3175256848335266, epochs needed: 20
evaluating individudal 12 - b0d95a5027c124b0. Mean loss in evaluation epoch: 0.3197018802165985, epochs needed: 20
evaluating individudal 13 - fc85178a045f25c0. Mean loss in evaluation epoch: 0.3176947832107544, epochs needed: 20
evaluating individudal 14 - b1a6f1e72a94a949. Mean loss in evaluation epoch: 0.3178873658180237, epochs needed: 20
evaluating individudal 15 - ed1bd8bf4e6703bf. Mean loss in evaluation epoch: 0.3168589472770691, epochs needed: 20
evaluating individudal 16 - e3a9a9248f94a041. Mean loss in evaluation epoch: 0.32073745131492615, epochs needed: 20
evaluating individudal 17 - 17084aa9f6aa9245. Mean loss in evaluation epoch: 0.31770816445350647, epochs needed: 20
evaluating individudal 18 - fddab646d4424182. Mean loss in evaluation epoch: 0.3164772093296051, epochs needed: 20
evaluating individudal 19 - 70eeca0e0b0e7797. Mean loss in evaluation epoch: 0.3181886076927185, epochs needed: 20
evaluating individudal 20 - b2f7d067911e9c08. Mean loss in evaluation epoch: 0.3164643943309784, epochs needed: 20
evaluating individudal 21 - 9339bd65cd8a6402. Mean loss in evaluation epoch: 0.3184441328048706, epochs needed: 20
evaluating individudal 22 - 4298f9876f54cc40. Mean loss in evaluation epoch: 0.3187517523765564, epochs needed: 20
evaluating individudal 23 - 2433f804eb483b9f. Mean loss in evaluation epoch: 0.32192596793174744, epochs needed: 20
evaluating individudal 24 - 4734b8e9e671053c. Mean loss in evaluation epoch: 0.3225424885749817, epochs needed: 20
evaluating individudal 25 - fa1c0ec65c0a44d6. Mean loss in evaluation epoch: 0.31774038076400757, epochs needed: 20
evaluating individudal 26 - df56732c80860ffb. Mean loss in evaluation epoch: 0.317105770111084, epochs needed: 20
evaluating individudal 27 - 72c6d3d5e9f944f1. Mean loss in evaluation epoch: 0.31924882531166077, epochs needed: 20
evaluating individudal 28 - a1cf053d9fac4a90. Mean loss in evaluation epoch: 0.32193291187286377, epochs needed: 20
evaluating individudal 29 - bae2db6d1aad25f0. Mean loss in evaluation epoch: 0.3199079930782318, epochs needed: 20
evaluating individudal 30 - b87f94c90fe43f98. Mean loss in evaluation epoch: 0.3175853192806244, epochs needed: 20
evaluating individudal 31 - f979ebbe64d6dfc2. Mean loss in evaluation epoch: 0.3201926350593567, epochs needed: 20
evaluating individudal 32 - c3cfc70c4eda1972. Mean loss in evaluation epoch: 0.31790873408317566, epochs needed: 20
evaluating individudal 33 - e673e73a514ec2f3. Mean loss in evaluation epoch: 0.3192221522331238, epochs needed: 20
evaluating individudal 34 - d8ab1afcad2c9dcf. Mean loss in evaluation epoch: 0.3183790147304535, epochs needed: 20
evaluating individudal 35 - 5ae05889875a7987. Mean loss in evaluation epoch: 0.32129478454589844, epochs needed: 20
evaluating individudal 36 - 6079ec419a8feaf8. Mean loss in evaluation epoch: 0.3175521492958069, epochs needed: 20
evaluating individudal 37 - 693109d461f67c93. Mean loss in evaluation epoch: 0.31902724504470825, epochs needed: 20
evaluating individudal 38 - 03578e19981b3e4e. Mean loss in evaluation epoch: 0.3181699216365814, epochs needed: 20
evaluating individudal 39 - 2eb6bf860f609cf9. Mean loss in evaluation epoch: 0.31914785504341125, epochs needed: 20
evaluating individudal 0 - 26306225f4841d2d. Mean loss in evaluation epoch: 0.3172071874141693, epochs needed: 20
evaluating individudal 1 - b44d1198f74db6bf. Mean loss in evaluation epoch: 0.3173378109931946, epochs needed: 20
evaluating individudal 2 - 62177686c64b457b. Mean loss in evaluation epoch: 0.318022757768631, epochs needed: 20
evaluating individudal 3 - b75e545a977e6d64. Mean loss in evaluation epoch: 0.3180125057697296, epochs needed: 20
evaluating individudal 4 - 6412521ca5d98b66. Mean loss in evaluation epoch: 0.3188779652118683, epochs needed: 20
evaluating individudal 5 - cec1d0343e469d9f. Mean loss in evaluation epoch: 0.3188509941101074, epochs needed: 20
evaluating individudal 6 - 21eb01d233286e48. Mean loss in evaluation epoch: 0.31920331716537476, epochs needed: 20
evaluating individudal 7 - cc993c5e29bf337f. Mean loss in evaluation epoch: 0.3197363317012787, epochs needed: 20
evaluating individudal 8 - 0648e40c2f650d58. Mean loss in evaluation epoch: 0.31902652978897095, epochs needed: 20
evaluating individudal 9 - 038d5cc066887ff0. Mean loss in evaluation epoch: 0.31996506452560425, epochs needed: 20
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 7e54d62a9af75c3f, num_times_seen_before: 0
ACC: 0.6368421052631579
TPR/FPR: 0.8611111111111112, 0.4155844155844156
Loss: 0.3162519335746765
Timestamp: 1022.4592640460032
---------------------------------------------------------------
evaluating individudal 0 - d67cc615c2aeed83. Mean loss in evaluation epoch: 0.3190917372703552, epochs needed: 20
evaluating individudal 1 - 1402245eba918bd6. Mean loss in evaluation epoch: 0.3184531331062317, epochs needed: 20
evaluating individudal 2 - 9ea5fa709a1128d1. Mean loss in evaluation epoch: 0.3194820284843445, epochs needed: 20
evaluating individudal 3 - b3dbc0a10298318c. Mean loss in evaluation epoch: 0.3190600574016571, epochs needed: 20
evaluating individudal 4 - f5fd8ad1de707661. Mean loss in evaluation epoch: 0.3194942772388458, epochs needed: 20
evaluating individudal 5 - 0fa9c68f668af6e9. Mean loss in evaluation epoch: 0.3185991048812866, epochs needed: 20
evaluating individudal 6 - bb38a9be933bd2a1. Mean loss in evaluation epoch: 0.31847083568573, epochs needed: 20
evaluating individudal 7 - 1d55250f98be4174. Mean loss in evaluation epoch: 0.3174256384372711, epochs needed: 20
evaluating individudal 8 - 8ce52c0e3f2b3838. Mean loss in evaluation epoch: 0.318787157535553, epochs needed: 20
evaluating individudal 9 - aa5634203ea50188. Mean loss in evaluation epoch: 0.318668395280838, epochs needed: 20
evaluating individudal 10 - 6c19b12d5a8ca3fc. Mean loss in evaluation epoch: 0.31946951150894165, epochs needed: 20
evaluating individudal 11 - 6d2b3a8341ee9be7. Mean loss in evaluation epoch: 0.31844228506088257, epochs needed: 20
evaluating individudal 12 - d03918cc906e0eb7. Mean loss in evaluation epoch: 0.3180716931819916, epochs needed: 20
evaluating individudal 13 - ad79a3e73ab3103b. Mean loss in evaluation epoch: 0.3199313282966614, epochs needed: 20
evaluating individudal 14 - b0459e51522b83f0. Mean loss in evaluation epoch: 0.3161463141441345, epochs needed: 20
evaluating individudal 15 - 2796291c66845f85. Mean loss in evaluation epoch: 0.3179228603839874, epochs needed: 20
evaluating individudal 16 - 7fc8007462ea5c53. Mean loss in evaluation epoch: 0.31987643241882324, epochs needed: 20
evaluating individudal 17 - 0b0d09ddd9cdb303. Mean loss in evaluation epoch: 0.3186880946159363, epochs needed: 20
evaluating individudal 18 - 19a243ac21ad0409. Mean loss in evaluation epoch: 0.31817519664764404, epochs needed: 20
