num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 35 - 9b1262378aebc763. Mean loss in evaluation epoch: 0.04854283481836319, epochs needed: 200
evaluating individudal 36 - ef3031f06e57f093. Mean loss in evaluation epoch: 0.04679900035262108, epochs needed: 200
evaluating individudal 37 - 446de6fb71ed20e0. Mean loss in evaluation epoch: 0.04881632328033447, epochs needed: 200
evaluating individudal 38 - 694d58bf5e3253a8. Mean loss in evaluation epoch: 0.04195621237158775, epochs needed: 200
evaluating individudal 39 - d0d98c8fd25ec41d. Mean loss in evaluation epoch: 0.044051799923181534, epochs needed: 200
evaluating individudal 0 - 19f36eff10d22637. Mean loss in evaluation epoch: 0.05288267135620117, epochs needed: 200
evaluating individudal 1 - b4dafaeae60f5fb2. Mean loss in evaluation epoch: 0.04772261157631874, epochs needed: 200
evaluating individudal 2 - 5893f1f7560e648d. Mean loss in evaluation epoch: 0.049895789474248886, epochs needed: 200
evaluating individudal 3 - f37ea4f488b3820c. Mean loss in evaluation epoch: 0.05256146937608719, epochs needed: 200
evaluating individudal 4 - 873b06e231163d6b. Mean loss in evaluation epoch: 0.049537576735019684, epochs needed: 200
evaluating individudal 5 - 2106646505a80567. Mean loss in evaluation epoch: 0.050020959228277206, epochs needed: 200
evaluating individudal 6 - 40e3f8e3e3676443. Mean loss in evaluation epoch: 0.048183124512434006, epochs needed: 200
evaluating individudal 7 - 46aefc0acfe6cca0. Mean loss in evaluation epoch: 0.05149061605334282, epochs needed: 200
evaluating individudal 8 - 5a4a61000d44bb3b. Mean loss in evaluation epoch: 0.048681143671274185, epochs needed: 200
evaluating individudal 9 - a6e0e1853aba7785. Mean loss in evaluation epoch: 0.04852854833006859, epochs needed: 200
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 694d58bf5e3253a8, num_times_seen_before: 0
ACC: 0.5947368421052632
TPR/FPR: 0.7777777777777778, 0.44805194805194803
Loss: 0.04195621237158775
Timestamp: 2592.087881751999
---------------------------------------------------------------
evaluating individudal 0 - e030d68b914b4e83. Mean loss in evaluation epoch: 0.04149026796221733, epochs needed: 200
evaluating individudal 1 - 9f9096fac9230940. Mean loss in evaluation epoch: 0.04318052530288696, epochs needed: 200
evaluating individudal 2 - ad1789cacf4077f5. Mean loss in evaluation epoch: 0.06669243425130844, epochs needed: 200
evaluating individudal 3 - 5f24441b2d54bd5e. Mean loss in evaluation epoch: 0.04295969754457474, epochs needed: 200
evaluating individudal 4 - 1e5d1ed4b1a2c1f2. Mean loss in evaluation epoch: 0.047476913779973984, epochs needed: 200
evaluating individudal 5 - 05751899c424bc06. Mean loss in evaluation epoch: 0.046773795038461685, epochs needed: 200
evaluating individudal 6 - 61d34b35b5aaf8cd. Mean loss in evaluation epoch: 0.04197581484913826, epochs needed: 200
evaluating individudal 7 - 8a391d3c75501767. Mean loss in evaluation epoch: 0.049287356436252594, epochs needed: 200
evaluating individudal 8 - 309553af44e65f8c. Mean loss in evaluation epoch: 0.0472693108022213, epochs needed: 200
evaluating individudal 9 - 48c06f7f10e59738. Mean loss in evaluation epoch: 0.045128677040338516, epochs needed: 200
evaluating individudal 10 - 4c605507bfd04f26. Mean loss in evaluation epoch: 0.0472542978823185, epochs needed: 200
evaluating individudal 11 - e942aaa4d5e57d8d. Mean loss in evaluation epoch: 0.06409116089344025, epochs needed: 200
evaluating individudal 12 - 51cc24006999172c. Mean loss in evaluation epoch: 0.04402027651667595, epochs needed: 200
evaluating individudal 13 - 5fff311009e3323a. Mean loss in evaluation epoch: 0.04613999277353287, epochs needed: 200
evaluating individudal 14 - 65293e1efed73b84. Mean loss in evaluation epoch: 0.04434443265199661, epochs needed: 200
evaluating individudal 15 - b9f6909071a35d56. Mean loss in evaluation epoch: 0.04618576169013977, epochs needed: 200
evaluating individudal 16 - e4fb3132f380bb07. Mean loss in evaluation epoch: 0.04156118258833885, epochs needed: 200
evaluating individudal 17 - f33d80bd04f3d94e. Mean loss in evaluation epoch: 0.04333159327507019, epochs needed: 200
evaluating individudal 18 - 5a67843b1a38dd5d. Mean loss in evaluation epoch: 0.04434853792190552, epochs needed: 200
evaluating individudal 19 - 6d8070f4a076f4b9. Mean loss in evaluation epoch: 0.0452890619635582, epochs needed: 200
evaluating individudal 20 - 88d1f82a15c93e0a. Mean loss in evaluation epoch: 0.04494259133934975, epochs needed: 200
evaluating individudal 21 - 7aadf78ec426471d. Mean loss in evaluation epoch: 0.045334432274103165, epochs needed: 200
evaluating individudal 22 - 71ade3f3735f0c06. Mean loss in evaluation epoch: 0.04504874348640442, epochs needed: 200
evaluating individudal 23 - 4b44d54913a73a7e. Mean loss in evaluation epoch: 0.0485508069396019, epochs needed: 200
evaluating individudal 24 - 637dbb7f6aa34501. Mean loss in evaluation epoch: 0.043634820729494095, epochs needed: 200
evaluating individudal 25 - f32e3dff92a23e2f. Mean loss in evaluation epoch: 0.05024658516049385, epochs needed: 200
evaluating individudal 26 - e25950489a008c46. Mean loss in evaluation epoch: 0.04311072453856468, epochs needed: 200
evaluating individudal 27 - f2fb2516fda43161. Mean loss in evaluation epoch: 0.04624878242611885, epochs needed: 200
evaluating individudal 28 - afb47bb8d3afbf21. Mean loss in evaluation epoch: 0.04742573946714401, epochs needed: 200
evaluating individudal 29 - 4bc7ce8048fbf888. Mean loss in evaluation epoch: 0.048556409776210785, epochs needed: 200
evaluating individudal 30 - 265e722e2f08283d. Mean loss in evaluation epoch: 0.04531353339552879, epochs needed: 200
evaluating individudal 31 - c7452d6762eef023. Mean loss in evaluation epoch: 0.03967411443591118, epochs needed: 200
evaluating individudal 32 - 96308821e0ba122d. Mean loss in evaluation epoch: 0.03809095546603203, epochs needed: 200
evaluating individudal 33 - e9c90735027de4b6. Mean loss in evaluation epoch: 0.04567238688468933, epochs needed: 200
evaluating individudal 34 - f4a772d93c028dff. Mean loss in evaluation epoch: 0.04397275671362877, epochs needed: 200
evaluating individudal 35 - ee82214a1fd3c158. Mean loss in evaluation epoch: 0.03905953839421272, epochs needed: 200
evaluating individudal 36 - 95fadd71342a377c. Mean loss in evaluation epoch: 0.04403136670589447, epochs needed: 200
evaluating individudal 37 - 96868084365db33d. Mean loss in evaluation epoch: 0.04226494953036308, epochs needed: 200
evaluating individudal 38 - c02c2b488eb10e6c. Mean loss in evaluation epoch: 0.043673936277627945, epochs needed: 200
evaluating individudal 39 - 14fcfd338572cfb2. Mean loss in evaluation epoch: 0.04255992919206619, epochs needed: 200
evaluating individudal 0 - 694d58bf5e3253a8. Mean loss in evaluation epoch: 0.043107762932777405, epochs needed: 200
evaluating individudal 1 - 175ec56c692f2e58. Mean loss in evaluation epoch: 0.050245046615600586, epochs needed: 200
evaluating individudal 2 - 7f6a92006f97bc62. Mean loss in evaluation epoch: 0.04651897773146629, epochs needed: 200
evaluating individudal 3 - d0d98c8fd25ec41d. Mean loss in evaluation epoch: 0.04282304644584656, epochs needed: 200
