num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 32 - 5007bd607cb44686. Mean loss in evaluation epoch: 0.31745803356170654, epochs needed: 20
evaluating individudal 33 - 3946ae684b3aa530. Mean loss in evaluation epoch: 0.32032591104507446, epochs needed: 20
evaluating individudal 34 - ec824723969cea17. Mean loss in evaluation epoch: 0.3205912709236145, epochs needed: 20
evaluating individudal 35 - a01822a4a64492b3. Mean loss in evaluation epoch: 0.32043808698654175, epochs needed: 20
evaluating individudal 36 - edc253205b0fe23f. Mean loss in evaluation epoch: 0.31865352392196655, epochs needed: 20
evaluating individudal 37 - 85707f1755a7fb6b. Mean loss in evaluation epoch: 0.32125598192214966, epochs needed: 20
evaluating individudal 38 - 734b5a20209df9e5. Mean loss in evaluation epoch: 0.31951943039894104, epochs needed: 20
evaluating individudal 39 - 66a99f512607fc6c. Mean loss in evaluation epoch: 0.32009994983673096, epochs needed: 20
evaluating individudal 0 - 6d06be3a329eb804. Mean loss in evaluation epoch: 0.32322952151298523, epochs needed: 20
evaluating individudal 1 - 19169758584bec0b. Mean loss in evaluation epoch: 0.32187336683273315, epochs needed: 20
evaluating individudal 2 - d8dfa66b169309ed. Mean loss in evaluation epoch: 0.323629766702652, epochs needed: 20
evaluating individudal 3 - 2a5129b02e7ffe6e. Mean loss in evaluation epoch: 0.3216049373149872, epochs needed: 20
evaluating individudal 4 - 5ce2862e1b98626b. Mean loss in evaluation epoch: 0.3238030970096588, epochs needed: 20
evaluating individudal 5 - 40ec8332826ce28a. Mean loss in evaluation epoch: 0.3232024312019348, epochs needed: 20
evaluating individudal 6 - 153a119f46c2a21f. Mean loss in evaluation epoch: 0.32267895340919495, epochs needed: 20
evaluating individudal 7 - caa43bbc1113f263. Mean loss in evaluation epoch: 0.3240301311016083, epochs needed: 20
evaluating individudal 8 - 0d24aabe65d748a5. Mean loss in evaluation epoch: 0.3221814036369324, epochs needed: 20
evaluating individudal 9 - cab4f031877ea6ee. Mean loss in evaluation epoch: 0.3227856755256653, epochs needed: 20
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: d3fc8968eb4022d2, num_times_seen_before: 0
ACC: 0.3894736842105263
TPR/FPR: 0.4722222222222222, 0.6298701298701299
Loss: 0.31704801321029663
Timestamp: 571.9207555620014
---------------------------------------------------------------
evaluating individudal 0 - 657c6e0e1b35e68f. Mean loss in evaluation epoch: 0.31736883521080017, epochs needed: 20
evaluating individudal 1 - 86c81aaa22743c1e. Mean loss in evaluation epoch: 0.3182353973388672, epochs needed: 20
evaluating individudal 2 - d373c51b34204590. Mean loss in evaluation epoch: 0.3194562494754791, epochs needed: 20
evaluating individudal 3 - d7170c4575f0ba06. Mean loss in evaluation epoch: 0.3195979595184326, epochs needed: 20
evaluating individudal 4 - c4b3e3f3f5f4c887. Mean loss in evaluation epoch: 0.318464457988739, epochs needed: 20
evaluating individudal 5 - d808ca4c78e06160. Mean loss in evaluation epoch: 0.3192625343799591, epochs needed: 20
evaluating individudal 6 - 7334a902e7d4a3c2. Mean loss in evaluation epoch: 0.31862661242485046, epochs needed: 20
evaluating individudal 7 - 649996f6e3b44aad. Mean loss in evaluation epoch: 0.3169862926006317, epochs needed: 20
evaluating individudal 8 - 9b7a3731855e0882. Mean loss in evaluation epoch: 0.31938958168029785, epochs needed: 20
evaluating individudal 9 - d56bb128537f103c. Mean loss in evaluation epoch: 0.3188471794128418, epochs needed: 20
evaluating individudal 10 - 5a44fa0b3f2071a9. Mean loss in evaluation epoch: 0.31857526302337646, epochs needed: 20
evaluating individudal 11 - a543007b7ed80340. Mean loss in evaluation epoch: 0.3183116912841797, epochs needed: 20
evaluating individudal 12 - c4a35052f1307d46. Mean loss in evaluation epoch: 0.3172689378261566, epochs needed: 20
evaluating individudal 13 - bf307a135aac197c. Mean loss in evaluation epoch: 0.3191203474998474, epochs needed: 20
evaluating individudal 14 - 7c4f97d937cde0e2. Mean loss in evaluation epoch: 0.31887000799179077, epochs needed: 20
evaluating individudal 15 - f3bf16ff91e4c5d3. Mean loss in evaluation epoch: 0.31781503558158875, epochs needed: 20
evaluating individudal 16 - df5c6e0b4a169f56. Mean loss in evaluation epoch: 0.3177138566970825, epochs needed: 20
evaluating individudal 17 - e9ad6062da9f294d. Mean loss in evaluation epoch: 0.31804075837135315, epochs needed: 20
evaluating individudal 18 - 7398a615b2f15879. Mean loss in evaluation epoch: 0.3189842104911804, epochs needed: 20
evaluating individudal 19 - 1506243fc3ef25d5. Mean loss in evaluation epoch: 0.31932446360588074, epochs needed: 20
evaluating individudal 20 - 96e0e064440c22cf. Mean loss in evaluation epoch: 0.31959518790245056, epochs needed: 20
evaluating individudal 21 - 582750c4bc37f0c9. Mean loss in evaluation epoch: 0.3185608983039856, epochs needed: 20
evaluating individudal 22 - e4187863c1864bf4. Mean loss in evaluation epoch: 0.31992432475090027, epochs needed: 20
evaluating individudal 23 - 664f08ff13051f03. Mean loss in evaluation epoch: 0.31852301955223083, epochs needed: 20
evaluating individudal 24 - a518706f44f7c146. Mean loss in evaluation epoch: 0.31776589155197144, epochs needed: 20
evaluating individudal 25 - 5148ee633def73c8. Mean loss in evaluation epoch: 0.31765982508659363, epochs needed: 20
evaluating individudal 26 - 6a5505590ae0c58a. Mean loss in evaluation epoch: 0.3184695839881897, epochs needed: 20
evaluating individudal 27 - ae7207371f6092d5. Mean loss in evaluation epoch: 0.3171698749065399, epochs needed: 20
evaluating individudal 28 - 50bf59fd9658af53. Mean loss in evaluation epoch: 0.32012656331062317, epochs needed: 20
evaluating individudal 29 - 1e4c89cd17a8cdb7. Mean loss in evaluation epoch: 0.31942489743232727, epochs needed: 20
evaluating individudal 30 - 3c7cc56c6449a081. Mean loss in evaluation epoch: 0.31889814138412476, epochs needed: 20
