num samples: 5000
NUM_TRAIN_SAMPLES: 4999
NUM_TRAIN_BATCHES: 50
NUM_TEST_SAMPLES: 4999
NUM_TEST_BATCHES: 50
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 40
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba10_5k_0.15.pickle
../data/final/edges_ba10.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 40
NUM_DYN_EPOCHS_INIT: 40
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
--------------------- Start training ------------------------
evaluating individudal 36 - 6ece8865ffbdd1f1. Mean loss in evaluation epoch: 0.38472801446914673, epochs needed: 40
evaluating individudal 37 - 04abc6d1dfad268d. Mean loss in evaluation epoch: 0.3827899992465973, epochs needed: 40
evaluating individudal 38 - 0014c0a29e573264. Mean loss in evaluation epoch: 0.38396403193473816, epochs needed: 40
evaluating individudal 39 - 7e0b415a92b99450. Mean loss in evaluation epoch: 0.38180699944496155, epochs needed: 40
evaluating individudal 0 - c7d41ba99df25fe4. Mean loss in evaluation epoch: 0.38615143299102783, epochs needed: 40
evaluating individudal 1 - 513b39e909677660. Mean loss in evaluation epoch: 0.3887283205986023, epochs needed: 40
evaluating individudal 2 - f1d757060da39227. Mean loss in evaluation epoch: 0.38731253147125244, epochs needed: 40
evaluating individudal 3 - 8d35e9a40c0706de. Mean loss in evaluation epoch: 0.386221319437027, epochs needed: 40
evaluating individudal 4 - fd6814e74c811dd0. Mean loss in evaluation epoch: 0.3842339515686035, epochs needed: 40
evaluating individudal 5 - 20bfa52dd734d1db. Mean loss in evaluation epoch: 0.3895513713359833, epochs needed: 40
evaluating individudal 6 - 07805c3fa629625b. Mean loss in evaluation epoch: 0.38903212547302246, epochs needed: 40
evaluating individudal 7 - 0c67d73ab8da61ae. Mean loss in evaluation epoch: 0.3891652524471283, epochs needed: 40
evaluating individudal 8 - 6f636f2b9754ec9f. Mean loss in evaluation epoch: 0.38769468665122986, epochs needed: 40
evaluating individudal 9 - a0df96c6bd78c155. Mean loss in evaluation epoch: 0.3845769464969635, epochs needed: 40
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 97e9c9f71a213da7, num_times_seen_before: 0
ACC: 0.3555555555555555
TPR/FPR: 0.375, 0.6551724137931034
Loss: 0.38059526681900024
Timestamp: 486.11784681599966
---------------------------------------------------------------
evaluating individudal 0 - 659032c1fb83f441. Mean loss in evaluation epoch: 0.38175585865974426, epochs needed: 40
evaluating individudal 1 - bbf6f45916530616. Mean loss in evaluation epoch: 0.38670486211776733, epochs needed: 40
evaluating individudal 2 - e223403ab2b469b2. Mean loss in evaluation epoch: 0.38506659865379333, epochs needed: 40
evaluating individudal 3 - 22e4851f078ab874. Mean loss in evaluation epoch: 0.38083091378211975, epochs needed: 40
evaluating individudal 4 - 7564dab08535dcbc. Mean loss in evaluation epoch: 0.3812880218029022, epochs needed: 40
evaluating individudal 5 - 1cda1534825c2846. Mean loss in evaluation epoch: 0.3812795877456665, epochs needed: 40
evaluating individudal 6 - a153253600add08b. Mean loss in evaluation epoch: 0.3812934458255768, epochs needed: 40
evaluating individudal 7 - 451ad0b5aaa1c53a. Mean loss in evaluation epoch: 0.3862769305706024, epochs needed: 40
evaluating individudal 8 - ff62dc3bbe5f40fd. Mean loss in evaluation epoch: 0.3818417191505432, epochs needed: 40
evaluating individudal 9 - 6b7fea834439ac10. Mean loss in evaluation epoch: 0.38029834628105164, epochs needed: 40
evaluating individudal 10 - 94f31d2571b53652. Mean loss in evaluation epoch: 0.3837142884731293, epochs needed: 40
evaluating individudal 11 - 8e171caa2ab37590. Mean loss in evaluation epoch: 0.3839595317840576, epochs needed: 40
evaluating individudal 12 - 7e514c60bfbcbaf2. Mean loss in evaluation epoch: 0.3841955065727234, epochs needed: 40
evaluating individudal 13 - a6f97780ff8767d2. Mean loss in evaluation epoch: 0.3836212158203125, epochs needed: 40
evaluating individudal 14 - 51701feb9b54d5a7. Mean loss in evaluation epoch: 0.38426297903060913, epochs needed: 40
evaluating individudal 15 - 18f240298bef50d5. Mean loss in evaluation epoch: 0.38438495993614197, epochs needed: 40
evaluating individudal 16 - 599d21dd04c28af1. Mean loss in evaluation epoch: 0.3790375292301178, epochs needed: 40
evaluating individudal 17 - aabc65fd7ba562a2. Mean loss in evaluation epoch: 0.3849940299987793, epochs needed: 40
evaluating individudal 18 - 3f9f79b894f67ec0. Mean loss in evaluation epoch: 0.3832990825176239, epochs needed: 40
evaluating individudal 19 - 5e9d55fae6016361. Mean loss in evaluation epoch: 0.3811693489551544, epochs needed: 40
evaluating individudal 20 - 36a89a231e4f2a02. Mean loss in evaluation epoch: 0.38087981939315796, epochs needed: 40
evaluating individudal 21 - 133b9af1cb5e661a. Mean loss in evaluation epoch: 0.3790445923805237, epochs needed: 40
evaluating individudal 22 - 3210af982e78f2a6. Mean loss in evaluation epoch: 0.38414111733436584, epochs needed: 40
evaluating individudal 23 - 993e9016298cfc4b. Mean loss in evaluation epoch: 0.3807678818702698, epochs needed: 40
evaluating individudal 24 - bdb58e8fcc09f8b9. Mean loss in evaluation epoch: 0.38489019870758057, epochs needed: 40
evaluating individudal 25 - d518ba8cc9307b7f. Mean loss in evaluation epoch: 0.3844858705997467, epochs needed: 40
evaluating individudal 26 - 0b18388874f0fd01. Mean loss in evaluation epoch: 0.38008230924606323, epochs needed: 40
evaluating individudal 27 - 46330f3cc1fdf388. Mean loss in evaluation epoch: 0.3784300982952118, epochs needed: 40
evaluating individudal 28 - f1dbaca2336b9df5. Mean loss in evaluation epoch: 0.3838362395763397, epochs needed: 40
evaluating individudal 29 - ea4055c1a7776f24. Mean loss in evaluation epoch: 0.3801051378250122, epochs needed: 40
evaluating individudal 30 - 0cf7e36eb1e35bc6. Mean loss in evaluation epoch: 0.3841029405593872, epochs needed: 40
evaluating individudal 31 - 872ffdb70755143a. Mean loss in evaluation epoch: 0.38104087114334106, epochs needed: 40
evaluating individudal 32 - ff4dbac41d2cd800. Mean loss in evaluation epoch: 0.3835461437702179, epochs needed: 40
evaluating individudal 33 - f7c0741945defdac. Mean loss in evaluation epoch: 0.3814462721347809, epochs needed: 40
evaluating individudal 34 - da9cfe01f47ed4d3. Mean loss in evaluation epoch: 0.3830775320529938, epochs needed: 40
evaluating individudal 35 - 9a53ed2546aee5db. Mean loss in evaluation epoch: 0.3867686092853546, epochs needed: 40
evaluating individudal 36 - 92b00ef26879d463. Mean loss in evaluation epoch: 0.3770429790019989, epochs needed: 40
evaluating individudal 37 - c2399e7d90ea35aa. Mean loss in evaluation epoch: 0.3835417330265045, epochs needed: 40
evaluating individudal 38 - b6fec43c26af2db2. Mean loss in evaluation epoch: 0.38389790058135986, epochs needed: 40
evaluating individudal 39 - 7aee9db0e333111c. Mean loss in evaluation epoch: 0.3832758367061615, epochs needed: 40
evaluating individudal 0 - 97e9c9f71a213da7. Mean loss in evaluation epoch: 0.381548136472702, epochs needed: 40
evaluating individudal 1 - 8a703a87654935e6. Mean loss in evaluation epoch: 0.38163092732429504, epochs needed: 40
evaluating individudal 2 - 3c4effb361cb574b. Mean loss in evaluation epoch: 0.38155117630958557, epochs needed: 40
evaluating individudal 3 - 1a1c1ad2b47a909a. Mean loss in evaluation epoch: 0.38170257210731506, epochs needed: 40
evaluating individudal 4 - 1975f27d2cf96820. Mean loss in evaluation epoch: 0.3813129961490631, epochs needed: 40
evaluating individudal 5 - 7e0b415a92b99450. Mean loss in evaluation epoch: 0.3818436861038208, epochs needed: 40
evaluating individudal 6 - f835547b7c9b0f9a. Mean loss in evaluation epoch: 0.38243478536605835, epochs needed: 40
evaluating individudal 7 - a71bb60120c70989. Mean loss in evaluation epoch: 0.3822997212409973, epochs needed: 40
evaluating individudal 8 - 83c626db563dc59e. Mean loss in evaluation epoch: 0.38236841559410095, epochs needed: 40
evaluating individudal 9 - 04abc6d1dfad268d. Mean loss in evaluation epoch: 0.3820682466030121, epochs needed: 40
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 92b00ef26879d463, num_times_seen_before: 0
ACC: 0.7333333333333334
TPR/FPR: 0.8125, 0.3103448275862069
Loss: 0.3770429790019989
Timestamp: 997.6901561039995
---------------------------------------------------------------
evaluating individudal 0 - 27aacda742faf1d3. Mean loss in evaluation epoch: 0.38117262721061707, epochs needed: 40
evaluating individudal 1 - 9c66afb8d92c2798. Mean loss in evaluation epoch: 0.37756675481796265, epochs needed: 40
evaluating individudal 2 - 06012c007a883a3f. Mean loss in evaluation epoch: 0.37905165553092957, epochs needed: 40
evaluating individudal 3 - 1251e4a8f882ebef. Mean loss in evaluation epoch: 0.37615710496902466, epochs needed: 40
evaluating individudal 4 - 194631b0b794a2fc. Mean loss in evaluation epoch: 0.3777015507221222, epochs needed: 40
evaluating individudal 5 - ef86119492275546. Mean loss in evaluation epoch: 0.3769800364971161, epochs needed: 40
evaluating individudal 6 - fe2cd5688b062956. Mean loss in evaluation epoch: 0.3787178099155426, epochs needed: 40
evaluating individudal 7 - 7b05d3d824a2c49d. Mean loss in evaluation epoch: 0.3821388781070709, epochs needed: 40
evaluating individudal 8 - d302e817ec6d0f85. Mean loss in evaluation epoch: 0.378476083278656, epochs needed: 40
evaluating individudal 9 - 5bd0bff35d281e99. Mean loss in evaluation epoch: 0.3794555962085724, epochs needed: 40
evaluating individudal 10 - c1b9a2a2c2b56c95. Mean loss in evaluation epoch: 0.37550437450408936, epochs needed: 40
evaluating individudal 11 - cbe8ffcb335d0d6d. Mean loss in evaluation epoch: 0.3806712329387665, epochs needed: 40
evaluating individudal 12 - 34cacf2470566e19. Mean loss in evaluation epoch: 0.38391512632369995, epochs needed: 40
evaluating individudal 13 - b0fed523ef20b4ea. Mean loss in evaluation epoch: 0.3816477954387665, epochs needed: 40
evaluating individudal 14 - 7271259e65ce3d40. Mean loss in evaluation epoch: 0.38358020782470703, epochs needed: 40
evaluating individudal 15 - f77a072eaa11fba5. Mean loss in evaluation epoch: 0.37992724776268005, epochs needed: 40
evaluating individudal 16 - 6c716666c8901dec. Mean loss in evaluation epoch: 0.3827032744884491, epochs needed: 40
evaluating individudal 17 - dec4bf5b2cd6f904. Mean loss in evaluation epoch: 0.3757864236831665, epochs needed: 40
evaluating individudal 18 - d226fcd4d38cebb6. Mean loss in evaluation epoch: 0.3806038498878479, epochs needed: 40
evaluating individudal 19 - 3de15703aa60d934. Mean loss in evaluation epoch: 0.3744438588619232, epochs needed: 40
evaluating individudal 20 - d13fc0e2269c3b38. Mean loss in evaluation epoch: 0.3815756142139435, epochs needed: 40
evaluating individudal 21 - 690e23421420ffcc. Mean loss in evaluation epoch: 0.38036245107650757, epochs needed: 40
evaluating individudal 22 - 8452e132006ecfc8. Mean loss in evaluation epoch: 0.3829399049282074, epochs needed: 40
evaluating individudal 23 - 7cf2329596ff76d5. Mean loss in evaluation epoch: 0.3820945620536804, epochs needed: 40
evaluating individudal 24 - 8f909a4a05705929. Mean loss in evaluation epoch: 0.3800755739212036, epochs needed: 40
evaluating individudal 25 - f5b95c660d8e590a. Mean loss in evaluation epoch: 0.37610355019569397, epochs needed: 40
evaluating individudal 26 - 55cfc8db469de3b6. Mean loss in evaluation epoch: 0.3775881230831146, epochs needed: 40
evaluating individudal 27 - 1a2b3ef65bc5c1f5. Mean loss in evaluation epoch: 0.3763955533504486, epochs needed: 40
evaluating individudal 28 - 7bb068c280ed6932. Mean loss in evaluation epoch: 0.37691253423690796, epochs needed: 40
evaluating individudal 29 - 4946015db101997a. Mean loss in evaluation epoch: 0.38208892941474915, epochs needed: 40
evaluating individudal 30 - e68a7faf8b92d457. Mean loss in evaluation epoch: 0.3830249309539795, epochs needed: 40
evaluating individudal 31 - f8a1a04b97e9877c. Mean loss in evaluation epoch: 0.3804093897342682, epochs needed: 40
evaluating individudal 32 - bbe84df28cfab61f. Mean loss in evaluation epoch: 0.382576048374176, epochs needed: 40
evaluating individudal 33 - 1f3508ce3840cfde. Mean loss in evaluation epoch: 0.38132503628730774, epochs needed: 40
evaluating individudal 34 - 2f30778aca15990d. Mean loss in evaluation epoch: 0.3797364830970764, epochs needed: 40
evaluating individudal 35 - 7267c54fc38566a3. Mean loss in evaluation epoch: 0.38085517287254333, epochs needed: 40
evaluating individudal 36 - a9d004406ec2a3f5. Mean loss in evaluation epoch: 0.3784579038619995, epochs needed: 40
evaluating individudal 37 - 9363dd4974571f1a. Mean loss in evaluation epoch: 0.3751385509967804, epochs needed: 40
evaluating individudal 38 - a31685c3d7f52a73. Mean loss in evaluation epoch: 0.37736013531684875, epochs needed: 40
evaluating individudal 39 - 33cb8fb23eaee86c. Mean loss in evaluation epoch: 0.377699077129364, epochs needed: 40
evaluating individudal 0 - 92b00ef26879d463. Mean loss in evaluation epoch: 0.37809842824935913, epochs needed: 40
evaluating individudal 1 - 46330f3cc1fdf388. Mean loss in evaluation epoch: 0.378009557723999, epochs needed: 40
evaluating individudal 2 - 599d21dd04c28af1. Mean loss in evaluation epoch: 0.37965795397758484, epochs needed: 40
evaluating individudal 3 - 133b9af1cb5e661a. Mean loss in evaluation epoch: 0.38172411918640137, epochs needed: 40
evaluating individudal 4 - 0b18388874f0fd01. Mean loss in evaluation epoch: 0.38040342926979065, epochs needed: 40
evaluating individudal 5 - ea4055c1a7776f24. Mean loss in evaluation epoch: 0.3795933425426483, epochs needed: 40
evaluating individudal 6 - 6b7fea834439ac10. Mean loss in evaluation epoch: 0.38037219643592834, epochs needed: 40
evaluating individudal 7 - 993e9016298cfc4b. Mean loss in evaluation epoch: 0.3801347613334656, epochs needed: 40
