num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 35 - 4910b40e931f2032. Mean loss in evaluation epoch: 0.05235796049237251, epochs needed: 200
evaluating individudal 36 - 9f1b69f911354216. Mean loss in evaluation epoch: 0.050775196403265, epochs needed: 200
evaluating individudal 37 - 87715b6bd0132cac. Mean loss in evaluation epoch: 0.05204390361905098, epochs needed: 200
evaluating individudal 38 - c5bcea0abfd13686. Mean loss in evaluation epoch: 0.047108244150877, epochs needed: 200
evaluating individudal 39 - 3cb61c261f205c3f. Mean loss in evaluation epoch: 0.05436315760016441, epochs needed: 200
evaluating individudal 0 - 209331bac16f0a9a. Mean loss in evaluation epoch: 0.05069149285554886, epochs needed: 200
evaluating individudal 1 - 90c94e45a609d59f. Mean loss in evaluation epoch: 0.05092381313443184, epochs needed: 200
evaluating individudal 2 - f698d3a199629a17. Mean loss in evaluation epoch: 0.048596978187561035, epochs needed: 200
evaluating individudal 3 - e4d17f2ff51e5c56. Mean loss in evaluation epoch: 0.05380741506814957, epochs needed: 200
evaluating individudal 4 - 8a32e303bbe84ea6. Mean loss in evaluation epoch: 0.05118528753519058, epochs needed: 200
evaluating individudal 5 - 95ab79c96bff5a7d. Mean loss in evaluation epoch: 0.04772992804646492, epochs needed: 200
evaluating individudal 6 - 7d88475bf4133f0d. Mean loss in evaluation epoch: 0.05099716782569885, epochs needed: 200
evaluating individudal 7 - 3ccd336c6079b80d. Mean loss in evaluation epoch: 0.05501589924097061, epochs needed: 200
evaluating individudal 8 - 380fee09790c85c3. Mean loss in evaluation epoch: 0.05020806938409805, epochs needed: 200
evaluating individudal 9 - 931324f52820fbed. Mean loss in evaluation epoch: 0.05300529673695564, epochs needed: 200
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 4701c2b16e9c347d, num_times_seen_before: 0
ACC: 0.6105263157894737
TPR/FPR: 1.0, 0.4805194805194805
Loss: 0.04181814193725586
Timestamp: 2591.691803612979
---------------------------------------------------------------
evaluating individudal 0 - c6209895c012aeae. Mean loss in evaluation epoch: 0.04188844561576843, epochs needed: 200
evaluating individudal 1 - d0a1b05bebb5d5ae. Mean loss in evaluation epoch: 0.044172726571559906, epochs needed: 200
evaluating individudal 2 - 2cb9e2a950d22a5e. Mean loss in evaluation epoch: 0.03814470395445824, epochs needed: 200
evaluating individudal 3 - 18f10858535e0164. Mean loss in evaluation epoch: 0.045989423990249634, epochs needed: 200
evaluating individudal 4 - fa88dc67cb34fa35. Mean loss in evaluation epoch: 0.055479712784290314, epochs needed: 200
evaluating individudal 5 - 95e374da051aee8b. Mean loss in evaluation epoch: 0.05163929611444473, epochs needed: 200
evaluating individudal 6 - 98ddd2a73a356621. Mean loss in evaluation epoch: 0.0482664480805397, epochs needed: 200
evaluating individudal 7 - 0f9c05268c184962. Mean loss in evaluation epoch: 0.04038192331790924, epochs needed: 200
evaluating individudal 8 - 2cce130dc41cac93. Mean loss in evaluation epoch: 0.04240434989333153, epochs needed: 200
evaluating individudal 9 - feebaf7ee45086e0. Mean loss in evaluation epoch: 0.04210846126079559, epochs needed: 200
evaluating individudal 10 - 1ce0c8a1ad813b7a. Mean loss in evaluation epoch: 0.0420883372426033, epochs needed: 200
evaluating individudal 11 - 5e59562c1f1ef0e5. Mean loss in evaluation epoch: 0.046657711267471313, epochs needed: 200
evaluating individudal 12 - 8cb769d3ff4984d5. Mean loss in evaluation epoch: 0.04918975383043289, epochs needed: 200
evaluating individudal 13 - 174fdf9e31d167e4. Mean loss in evaluation epoch: 0.0490424744784832, epochs needed: 200
evaluating individudal 14 - df99888be7ae5b51. Mean loss in evaluation epoch: 0.039799999445676804, epochs needed: 200
evaluating individudal 15 - 434e1edd0047f1ce. Mean loss in evaluation epoch: 0.04699314385652542, epochs needed: 200
evaluating individudal 16 - 9c7d53b126348130. Mean loss in evaluation epoch: 0.04336452856659889, epochs needed: 200
evaluating individudal 17 - 131ba76f4678929e. Mean loss in evaluation epoch: 0.048813346773386, epochs needed: 200
evaluating individudal 18 - 3e39d84b7abff710. Mean loss in evaluation epoch: 0.04091612249612808, epochs needed: 200
evaluating individudal 19 - 8fa6d7b2ed5826f5. Mean loss in evaluation epoch: 0.044023703783750534, epochs needed: 200
evaluating individudal 20 - f561aba7e955b390. Mean loss in evaluation epoch: 0.043481480330228806, epochs needed: 200
evaluating individudal 21 - 8eebb96271d67157. Mean loss in evaluation epoch: 0.052263762801885605, epochs needed: 200
evaluating individudal 22 - 136bf405f0a27062. Mean loss in evaluation epoch: 0.04668053612112999, epochs needed: 200
evaluating individudal 23 - 5ca8fafc256a3088. Mean loss in evaluation epoch: 0.03919072821736336, epochs needed: 200
evaluating individudal 24 - eace27cefd188ca9. Mean loss in evaluation epoch: 0.04438168928027153, epochs needed: 200
evaluating individudal 25 - a3a896a944d0eecd. Mean loss in evaluation epoch: 0.038068968802690506, epochs needed: 200
evaluating individudal 26 - 84d61baa90e43506. Mean loss in evaluation epoch: 0.04614793136715889, epochs needed: 200
evaluating individudal 27 - a4ee26e5a99662d7. Mean loss in evaluation epoch: 0.0473191998898983, epochs needed: 200
evaluating individudal 28 - 45a45a94b4bd4267. Mean loss in evaluation epoch: 0.04330144450068474, epochs needed: 200
evaluating individudal 29 - d20932563c64dd78. Mean loss in evaluation epoch: 0.0477311797440052, epochs needed: 200
evaluating individudal 30 - 0537f0854ab3b526. Mean loss in evaluation epoch: 0.049634840339422226, epochs needed: 200
evaluating individudal 31 - 9fe4b98674d91e18. Mean loss in evaluation epoch: 0.048620980232954025, epochs needed: 200
evaluating individudal 32 - 2e453796daf9c128. Mean loss in evaluation epoch: 0.04628189280629158, epochs needed: 200
evaluating individudal 33 - 1a906d6b1f50b3e6. Mean loss in evaluation epoch: 0.0437236949801445, epochs needed: 200
evaluating individudal 34 - 8aea18f7f9a638ac. Mean loss in evaluation epoch: 0.05080505833029747, epochs needed: 200
evaluating individudal 35 - ca64f0e247d994c1. Mean loss in evaluation epoch: 0.04892154037952423, epochs needed: 200
evaluating individudal 36 - ac843e46d5073ff9. Mean loss in evaluation epoch: 0.04304772615432739, epochs needed: 200
evaluating individudal 37 - ece84ae7230b7741. Mean loss in evaluation epoch: 0.048756636679172516, epochs needed: 200
evaluating individudal 38 - 1df35d0b0482a714. Mean loss in evaluation epoch: 0.047621723264455795, epochs needed: 200
evaluating individudal 39 - d9f2a24f6a5bcce6. Mean loss in evaluation epoch: 0.04648019000887871, epochs needed: 200
evaluating individudal 0 - 4701c2b16e9c347d. Mean loss in evaluation epoch: 0.05137108638882637, epochs needed: 200
evaluating individudal 1 - 68395c3cda63cfdc. Mean loss in evaluation epoch: 0.04221465066075325, epochs needed: 200
evaluating individudal 2 - 57bb12d37291c2cc. Mean loss in evaluation epoch: 0.05147479847073555, epochs needed: 200
evaluating individudal 3 - 81ee981e23536c79. Mean loss in evaluation epoch: 0.047741036862134933, epochs needed: 200
evaluating individudal 4 - e53d064b0c04af7f. Mean loss in evaluation epoch: 0.04665636643767357, epochs needed: 200
evaluating individudal 5 - 15c304406de973c4. Mean loss in evaluation epoch: 0.04695618525147438, epochs needed: 200
evaluating individudal 6 - 7c0ca80a843e8b75. Mean loss in evaluation epoch: 0.050962816923856735, epochs needed: 200
evaluating individudal 7 - d75a6f3991a83b26. Mean loss in evaluation epoch: 0.04739176854491234, epochs needed: 200
evaluating individudal 8 - b304586781ffd0d2. Mean loss in evaluation epoch: 0.04696173593401909, epochs needed: 200
evaluating individudal 9 - 2fa2568226139ae4. Mean loss in evaluation epoch: 0.05218464136123657, epochs needed: 200
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: a3a896a944d0eecd, num_times_seen_before: 0
ACC: 0.7421052631578947
TPR/FPR: 0.9444444444444444, 0.3051948051948052
Loss: 0.038068968802690506
Timestamp: 5183.983230102982
---------------------------------------------------------------
evaluating individudal 0 - 41462874ff66fb2d. Mean loss in evaluation epoch: 0.04080525040626526, epochs needed: 200
evaluating individudal 1 - 79e513e4bba1279a. Mean loss in evaluation epoch: 0.034519392997026443, epochs needed: 200
evaluating individudal 2 - e09a0f9bb61b157f. Mean loss in evaluation epoch: 0.036236874759197235, epochs needed: 200
evaluating individudal 3 - 2f82b15232ecb227. Mean loss in evaluation epoch: 0.045816730707883835, epochs needed: 200
evaluating individudal 4 - 1c67d398d856058e. Mean loss in evaluation epoch: 0.039539434015750885, epochs needed: 200
evaluating individudal 5 - 186665f2a22bec2c. Mean loss in evaluation epoch: 0.0341477207839489, epochs needed: 200
evaluating individudal 6 - c691b6332ffad81d. Mean loss in evaluation epoch: 0.0347319059073925, epochs needed: 200
evaluating individudal 7 - 892d51c4db40f405. Mean loss in evaluation epoch: 0.04505869001150131, epochs needed: 200
evaluating individudal 8 - fd8bb936551d8358. Mean loss in evaluation epoch: 0.035447847098112106, epochs needed: 200
evaluating individudal 9 - 56d8e5be3c0ebc64. Mean loss in evaluation epoch: 0.037013377994298935, epochs needed: 200
evaluating individudal 10 - 6ff866e3b3d15ee8. Mean loss in evaluation epoch: 0.0367911234498024, epochs needed: 200
