num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_4_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 35 - 2dae14afcb9f8cdf. Mean loss in evaluation epoch: 0.1161760687828064, epochs needed: 200
evaluating individudal 36 - e0acf9271d8605e8. Mean loss in evaluation epoch: 0.11514152586460114, epochs needed: 200
evaluating individudal 37 - ab3dc28da614f994. Mean loss in evaluation epoch: 0.11850669234991074, epochs needed: 200
evaluating individudal 38 - 0987f70afbf2fb6b. Mean loss in evaluation epoch: 0.12326779216527939, epochs needed: 200
evaluating individudal 39 - cfe79f7598db90b1. Mean loss in evaluation epoch: 0.11651032418012619, epochs needed: 200
evaluating individudal 0 - e78a65b70d3193a8. Mean loss in evaluation epoch: 0.11687880009412766, epochs needed: 200
evaluating individudal 1 - c590b92f8078d989. Mean loss in evaluation epoch: 0.1154162809252739, epochs needed: 200
evaluating individudal 2 - fd2e47980364863e. Mean loss in evaluation epoch: 0.11283811181783676, epochs needed: 200
evaluating individudal 3 - 9764b791a3f92b26. Mean loss in evaluation epoch: 0.12658588588237762, epochs needed: 200
evaluating individudal 4 - f990328190da7c56. Mean loss in evaluation epoch: 0.11611366271972656, epochs needed: 200
evaluating individudal 5 - 0e4aeac190831969. Mean loss in evaluation epoch: 0.1251569539308548, epochs needed: 200
evaluating individudal 6 - 65431fb625d68a2a. Mean loss in evaluation epoch: 0.12541265785694122, epochs needed: 200
evaluating individudal 7 - e558069ae39897c9. Mean loss in evaluation epoch: 0.1169821172952652, epochs needed: 200
evaluating individudal 8 - 51dd6d1e8123e0ee. Mean loss in evaluation epoch: 0.12065185606479645, epochs needed: 200
evaluating individudal 9 - 991bad6b02d8a7ed. Mean loss in evaluation epoch: 0.11371636390686035, epochs needed: 200
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 8d3902a84362f6cf, num_times_seen_before: 0
ACC: 0.5473684210526315
TPR/FPR: 0.6388888888888888, 0.474025974025974
Loss: 0.11216626316308975
Timestamp: 2602.9977129080216
---------------------------------------------------------------
evaluating individudal 0 - ec3c478a2b21e759. Mean loss in evaluation epoch: 0.11179651319980621, epochs needed: 50
evaluating individudal 1 - 0a22fb3470ccd2c1. Mean loss in evaluation epoch: 0.11202718317508698, epochs needed: 50
evaluating individudal 2 - 7cc3971ebf417b87. Mean loss in evaluation epoch: 0.1105596050620079, epochs needed: 50
evaluating individudal 3 - 5762af500d1595d3. Mean loss in evaluation epoch: 0.13516347110271454, epochs needed: 50
evaluating individudal 4 - bf813eca62fb5f98. Mean loss in evaluation epoch: 0.11041291058063507, epochs needed: 50
evaluating individudal 5 - d2ffd1e39ae301f9. Mean loss in evaluation epoch: 0.1095917597413063, epochs needed: 50
evaluating individudal 6 - 400905ff9c41f371. Mean loss in evaluation epoch: 0.11365866661071777, epochs needed: 50
evaluating individudal 7 - 25ed20cbc7ca6b1a. Mean loss in evaluation epoch: 0.11054641008377075, epochs needed: 50
evaluating individudal 8 - de07a7e16dfaa46a. Mean loss in evaluation epoch: 0.11124198883771896, epochs needed: 50
evaluating individudal 9 - aa82a028ca8eb86e. Mean loss in evaluation epoch: 0.1087670549750328, epochs needed: 50
evaluating individudal 10 - 173552cfaeeb05c8. Mean loss in evaluation epoch: 0.11066266149282455, epochs needed: 50
evaluating individudal 11 - 939f0e234bc02eeb. Mean loss in evaluation epoch: 0.11039097607135773, epochs needed: 50
evaluating individudal 12 - db1d745ef423711d. Mean loss in evaluation epoch: 0.11138539761304855, epochs needed: 50
evaluating individudal 13 - b1baf3f4296b9237. Mean loss in evaluation epoch: 0.11083094030618668, epochs needed: 50
evaluating individudal 14 - cc254306f8588f3c. Mean loss in evaluation epoch: 0.1097085028886795, epochs needed: 50
evaluating individudal 15 - d3e2223f0ef26930. Mean loss in evaluation epoch: 0.11071187257766724, epochs needed: 50
evaluating individudal 16 - 899a118352a6d12a. Mean loss in evaluation epoch: 0.11428693681955338, epochs needed: 50
evaluating individudal 17 - 464bfc9be8c1bad4. Mean loss in evaluation epoch: 0.11130283027887344, epochs needed: 50
evaluating individudal 18 - 6be6afe1e9645bff. Mean loss in evaluation epoch: 0.11132784187793732, epochs needed: 50
evaluating individudal 19 - 00ef012ef2c815fb. Mean loss in evaluation epoch: 0.11305441707372665, epochs needed: 50
evaluating individudal 20 - 86295a3208aa5ab0. Mean loss in evaluation epoch: 0.11209988594055176, epochs needed: 50
evaluating individudal 21 - e22695424e9b46b7. Mean loss in evaluation epoch: 0.10953877121210098, epochs needed: 50
evaluating individudal 22 - 68823cccec9fe334. Mean loss in evaluation epoch: 0.11187299340963364, epochs needed: 50
evaluating individudal 23 - 5ca759b58169fa14. Mean loss in evaluation epoch: 0.1102028414607048, epochs needed: 50
evaluating individudal 24 - 176220c2522030ac. Mean loss in evaluation epoch: 0.11861612647771835, epochs needed: 50
evaluating individudal 25 - 865b474aabc9acfe. Mean loss in evaluation epoch: 0.11149294674396515, epochs needed: 50
evaluating individudal 26 - 768ead7b19c40ff3. Mean loss in evaluation epoch: 0.11043107509613037, epochs needed: 50
evaluating individudal 27 - 3d940ca0d57af65b. Mean loss in evaluation epoch: 0.10999307781457901, epochs needed: 50
evaluating individudal 28 - 52ec73c2941f3719. Mean loss in evaluation epoch: 0.11059083044528961, epochs needed: 50
evaluating individudal 29 - c12ff8aea34ad37d. Mean loss in evaluation epoch: 0.11034311354160309, epochs needed: 50
evaluating individudal 30 - 9509daca3ea503bc. Mean loss in evaluation epoch: 0.1088629737496376, epochs needed: 50
evaluating individudal 31 - c659b8bf2764a85c. Mean loss in evaluation epoch: 0.11199283599853516, epochs needed: 50
evaluating individudal 32 - e3386ced810f0a3c. Mean loss in evaluation epoch: 0.11321121454238892, epochs needed: 50
evaluating individudal 33 - 157a864b05f55c46. Mean loss in evaluation epoch: 0.10858750343322754, epochs needed: 50
evaluating individudal 34 - 3b8f45aea161fb9b. Mean loss in evaluation epoch: 0.10880284756422043, epochs needed: 50
evaluating individudal 35 - 4350ee96ebf0ec01. Mean loss in evaluation epoch: 0.11024301499128342, epochs needed: 50
evaluating individudal 36 - 524c3a12274f2a47. Mean loss in evaluation epoch: 0.11175554990768433, epochs needed: 50
evaluating individudal 37 - 9ce0f5bac43b7991. Mean loss in evaluation epoch: 0.10769207775592804, epochs needed: 50
evaluating individudal 38 - 8e0f8e912ee3cb78. Mean loss in evaluation epoch: 0.10927999019622803, epochs needed: 50
evaluating individudal 39 - 4ee6db8c50ce9773. Mean loss in evaluation epoch: 0.11173172295093536, epochs needed: 50
evaluating individudal 0 - 8d3902a84362f6cf. Mean loss in evaluation epoch: 0.10972793400287628, epochs needed: 50
evaluating individudal 1 - fd2e47980364863e. Mean loss in evaluation epoch: 0.11025698482990265, epochs needed: 50
evaluating individudal 2 - c669d92e6ff6f9c8. Mean loss in evaluation epoch: 0.11082339286804199, epochs needed: 50
evaluating individudal 3 - adad4841627140f6. Mean loss in evaluation epoch: 0.11179258674383163, epochs needed: 50
evaluating individudal 4 - 6494dd1b12c37ec4. Mean loss in evaluation epoch: 0.10988276451826096, epochs needed: 50
evaluating individudal 5 - 265ffc7f599eaf77. Mean loss in evaluation epoch: 0.11021878570318222, epochs needed: 50
evaluating individudal 6 - 991bad6b02d8a7ed. Mean loss in evaluation epoch: 0.110892653465271, epochs needed: 50
evaluating individudal 7 - 83fd9bbd0138db9b. Mean loss in evaluation epoch: 0.10834681987762451, epochs needed: 50
evaluating individudal 8 - 6fe0b586e7a22e63. Mean loss in evaluation epoch: 0.11042384058237076, epochs needed: 50
evaluating individudal 9 - 2ce038e228c93393. Mean loss in evaluation epoch: 0.11172392219305038, epochs needed: 50
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 9ce0f5bac43b7991, num_times_seen_before: 0
ACC: 0.5421052631578948
TPR/FPR: 0.8055555555555556, 0.5194805194805194
Loss: 0.10769207775592804
Timestamp: 3335.5152746860113
---------------------------------------------------------------
evaluating individudal 0 - 1520e456e950fff9. Mean loss in evaluation epoch: 0.10669436305761337, epochs needed: 50
evaluating individudal 1 - 4667e65258edeec6. Mean loss in evaluation epoch: 0.10790853947401047, epochs needed: 50
evaluating individudal 2 - f12dac62dd0f60b1. Mean loss in evaluation epoch: 0.10683546215295792, epochs needed: 50
evaluating individudal 3 - 6b9934e9558e2fe2. Mean loss in evaluation epoch: 0.10779992491006851, epochs needed: 50
evaluating individudal 4 - 68aeb1d3372e06f1. Mean loss in evaluation epoch: 0.10670409351587296, epochs needed: 50
evaluating individudal 5 - cfbe1f753fe37bf2. Mean loss in evaluation epoch: 0.10624402016401291, epochs needed: 50
evaluating individudal 6 - 8dbd8f0a9f5a1215. Mean loss in evaluation epoch: 0.10581185668706894, epochs needed: 50
evaluating individudal 7 - 72d2b6979bdfa1c2. Mean loss in evaluation epoch: 0.105751633644104, epochs needed: 50
evaluating individudal 8 - 6d8b4a250c608266. Mean loss in evaluation epoch: 0.1077515035867691, epochs needed: 50
evaluating individudal 9 - 86734425fcda68f5. Mean loss in evaluation epoch: 0.10699174553155899, epochs needed: 50
evaluating individudal 10 - 552447c7b3abd88b. Mean loss in evaluation epoch: 0.10818224400281906, epochs needed: 50
evaluating individudal 11 - 768db674fb4b3a43. Mean loss in evaluation epoch: 0.10635465383529663, epochs needed: 50
evaluating individudal 12 - 7f06e6cdc642d6c1. Mean loss in evaluation epoch: 0.11288560926914215, epochs needed: 50
evaluating individudal 13 - c6ac6f05846a4ae6. Mean loss in evaluation epoch: 0.10805854946374893, epochs needed: 50
evaluating individudal 14 - 869fed252dc95862. Mean loss in evaluation epoch: 0.10841774940490723, epochs needed: 50
