num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_4_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 35 - 7ed7aeb62c258954. Mean loss in evaluation epoch: 0.1121509000658989, epochs needed: 200
evaluating individudal 36 - 003b860326d39636. Mean loss in evaluation epoch: 0.1344030350446701, epochs needed: 200
evaluating individudal 37 - 60b4e6cee0dd275c. Mean loss in evaluation epoch: 0.1272980272769928, epochs needed: 200
evaluating individudal 38 - dfa95b21aa52723c. Mean loss in evaluation epoch: 0.11721565574407578, epochs needed: 200
evaluating individudal 39 - 36c59ffa544ccc30. Mean loss in evaluation epoch: 0.12169509381055832, epochs needed: 200
evaluating individudal 0 - 6b9f8457e330ea43. Mean loss in evaluation epoch: 0.11821673065423965, epochs needed: 200
evaluating individudal 1 - fcd4b5eb7093a51c. Mean loss in evaluation epoch: 0.11516766995191574, epochs needed: 200
evaluating individudal 2 - 59dba9b7b9cb4ed4. Mean loss in evaluation epoch: 0.11604516953229904, epochs needed: 200
evaluating individudal 3 - d4fb6afd595b32a7. Mean loss in evaluation epoch: 0.11793124675750732, epochs needed: 200
evaluating individudal 4 - 0c93761571cd0d96. Mean loss in evaluation epoch: 0.11386040598154068, epochs needed: 200
evaluating individudal 5 - 8402a3f8574a8472. Mean loss in evaluation epoch: 0.11976636946201324, epochs needed: 200
evaluating individudal 6 - e75d1d2a465dac7a. Mean loss in evaluation epoch: 0.1150415912270546, epochs needed: 200
evaluating individudal 7 - 16d6120f2daeb857. Mean loss in evaluation epoch: 0.11312895268201828, epochs needed: 200
evaluating individudal 8 - 276ef6582203447a. Mean loss in evaluation epoch: 0.11687850952148438, epochs needed: 200
evaluating individudal 9 - 99bbbf1a55ec0612. Mean loss in evaluation epoch: 0.12878569960594177, epochs needed: 200
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 7ed7aeb62c258954, num_times_seen_before: 0
ACC: 0.49473684210526314
TPR/FPR: 0.75, 0.564935064935065
Loss: 0.1121509000658989
Timestamp: 2623.826608397998
---------------------------------------------------------------
evaluating individudal 0 - 9e96f15c9e3a6b95. Mean loss in evaluation epoch: 0.11262643337249756, epochs needed: 50
evaluating individudal 1 - 6c2d8b0f0a7788bb. Mean loss in evaluation epoch: 0.11458887159824371, epochs needed: 50
evaluating individudal 2 - 32341b32c05a419c. Mean loss in evaluation epoch: 0.11131936311721802, epochs needed: 50
evaluating individudal 3 - 95c6839740d1c922. Mean loss in evaluation epoch: 0.11390747874975204, epochs needed: 50
evaluating individudal 4 - 39121dc68d536318. Mean loss in evaluation epoch: 0.1096622571349144, epochs needed: 50
evaluating individudal 5 - 41759b5d7456674e. Mean loss in evaluation epoch: 0.11111094057559967, epochs needed: 50
evaluating individudal 6 - 8d4d9f96b972ceec. Mean loss in evaluation epoch: 0.11223091185092926, epochs needed: 50
evaluating individudal 7 - b5b19d29e68238ab. Mean loss in evaluation epoch: 0.1096513420343399, epochs needed: 50
evaluating individudal 8 - bfe4411ff5e27e0d. Mean loss in evaluation epoch: 0.10984940826892853, epochs needed: 50
evaluating individudal 9 - 789f877d40d1a069. Mean loss in evaluation epoch: 0.11141455173492432, epochs needed: 50
evaluating individudal 10 - 688b6f44849aeeee. Mean loss in evaluation epoch: 0.11116377264261246, epochs needed: 50
evaluating individudal 11 - e936455117b93543. Mean loss in evaluation epoch: 0.11236356943845749, epochs needed: 50
evaluating individudal 12 - 21bc059c57c770ee. Mean loss in evaluation epoch: 0.1124688982963562, epochs needed: 50
evaluating individudal 13 - 38f38476e714463c. Mean loss in evaluation epoch: 0.11234495788812637, epochs needed: 50
evaluating individudal 14 - aac4ac91b533503f. Mean loss in evaluation epoch: 0.1134110614657402, epochs needed: 50
evaluating individudal 15 - 4adca0d6d5624854. Mean loss in evaluation epoch: 0.11320505291223526, epochs needed: 50
evaluating individudal 16 - d65990df5573e489. Mean loss in evaluation epoch: 0.11033504456281662, epochs needed: 50
evaluating individudal 17 - 6b2b766524f7d046. Mean loss in evaluation epoch: 0.11013531684875488, epochs needed: 50
evaluating individudal 18 - 9de0357dd2d1d0f0. Mean loss in evaluation epoch: 0.11185803264379501, epochs needed: 50
evaluating individudal 19 - cc9fca8b1b51e935. Mean loss in evaluation epoch: 0.11082007735967636, epochs needed: 50
evaluating individudal 20 - dd43f5a77199ccc8. Mean loss in evaluation epoch: 0.11163339763879776, epochs needed: 50
evaluating individudal 21 - 5afe1d77aaf04b9e. Mean loss in evaluation epoch: 0.11791552603244781, epochs needed: 50
evaluating individudal 22 - 5536b8b3a8eb4e94. Mean loss in evaluation epoch: 0.11192283779382706, epochs needed: 50
evaluating individudal 23 - 2392f9065e36d7ac. Mean loss in evaluation epoch: 0.10940921306610107, epochs needed: 50
evaluating individudal 24 - 0e507c69652cbe7d. Mean loss in evaluation epoch: 0.11015453189611435, epochs needed: 50
evaluating individudal 25 - 3b948c3225621791. Mean loss in evaluation epoch: 0.10911010950803757, epochs needed: 50
evaluating individudal 26 - 4fb422f51d6f237f. Mean loss in evaluation epoch: 0.11097075790166855, epochs needed: 50
evaluating individudal 27 - a1cea64167509a6c. Mean loss in evaluation epoch: 0.11091633141040802, epochs needed: 50
evaluating individudal 28 - 4dee562e11ef8588. Mean loss in evaluation epoch: 0.11084859818220139, epochs needed: 50
evaluating individudal 29 - 7a91120f48e5bfd9. Mean loss in evaluation epoch: 0.10972978919744492, epochs needed: 50
evaluating individudal 30 - 24cbc290152b6f39. Mean loss in evaluation epoch: 0.1100132092833519, epochs needed: 50
evaluating individudal 31 - 5df994a2ca0677f3. Mean loss in evaluation epoch: 0.11170285940170288, epochs needed: 50
evaluating individudal 32 - 4c4d05e7ae127057. Mean loss in evaluation epoch: 0.1094866544008255, epochs needed: 50
evaluating individudal 33 - 0c9b502d1aa5cc35. Mean loss in evaluation epoch: 0.11207431554794312, epochs needed: 50
evaluating individudal 34 - 71ccd0b6611af45d. Mean loss in evaluation epoch: 0.11179742962121964, epochs needed: 50
evaluating individudal 35 - 67c65d7509f51ecb. Mean loss in evaluation epoch: 0.10952364653348923, epochs needed: 50
evaluating individudal 36 - b0c914bea1bfe5c3. Mean loss in evaluation epoch: 0.11012456566095352, epochs needed: 50
evaluating individudal 37 - 2af0311375543fcc. Mean loss in evaluation epoch: 0.10884039849042892, epochs needed: 50
evaluating individudal 38 - d0742e947d5ca727. Mean loss in evaluation epoch: 0.11059349030256271, epochs needed: 50
evaluating individudal 39 - 9e7d4f69616a2bf3. Mean loss in evaluation epoch: 0.10882420837879181, epochs needed: 50
evaluating individudal 0 - 7ed7aeb62c258954. Mean loss in evaluation epoch: 0.1102134957909584, epochs needed: 50
evaluating individudal 1 - 16d6120f2daeb857. Mean loss in evaluation epoch: 0.11088471859693527, epochs needed: 50
evaluating individudal 2 - 164bb5c8750a7298. Mean loss in evaluation epoch: 0.10860457271337509, epochs needed: 50
evaluating individudal 3 - 0c93761571cd0d96. Mean loss in evaluation epoch: 0.11099398136138916, epochs needed: 50
evaluating individudal 4 - 47c1e40732930481. Mean loss in evaluation epoch: 0.11035629361867905, epochs needed: 50
evaluating individudal 5 - e75d1d2a465dac7a. Mean loss in evaluation epoch: 0.11214625835418701, epochs needed: 50
evaluating individudal 6 - fcd4b5eb7093a51c. Mean loss in evaluation epoch: 0.11150159686803818, epochs needed: 50
evaluating individudal 7 - ddcb1f25b2d6966e. Mean loss in evaluation epoch: 0.11128250509500504, epochs needed: 50
evaluating individudal 8 - 39507865b3a4f36c. Mean loss in evaluation epoch: 0.11081325262784958, epochs needed: 50
evaluating individudal 9 - 57f065c50f2be69c. Mean loss in evaluation epoch: 0.11129497736692429, epochs needed: 50
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 164bb5c8750a7298, num_times_seen_before: 0
ACC: 0.46842105263157896
TPR/FPR: 0.7777777777777778, 0.6038961038961039
Loss: 0.10860457271337509
Timestamp: 3287.4995854439912
---------------------------------------------------------------
evaluating individudal 0 - 7ffea7ab23318402. Mean loss in evaluation epoch: 0.10725992172956467, epochs needed: 50
evaluating individudal 1 - a9e8161dde762c69. Mean loss in evaluation epoch: 0.10699408501386642, epochs needed: 50
evaluating individudal 2 - c16054dbc4ff2716. Mean loss in evaluation epoch: 0.1062602549791336, epochs needed: 50
evaluating individudal 3 - 44f94dd01f34eafd. Mean loss in evaluation epoch: 0.10852871090173721, epochs needed: 50
evaluating individudal 4 - b2d39ef7d5c0de1b. Mean loss in evaluation epoch: 0.10706233978271484, epochs needed: 50
evaluating individudal 5 - 6156f464dbaa890a. Mean loss in evaluation epoch: 0.1075519323348999, epochs needed: 50
evaluating individudal 6 - 2739778c0b0da12b. Mean loss in evaluation epoch: 0.10778703540563583, epochs needed: 50
evaluating individudal 7 - 097910b71a940f00. Mean loss in evaluation epoch: 0.10839550942182541, epochs needed: 50
evaluating individudal 8 - 6f96021fbd85bf40. Mean loss in evaluation epoch: 0.10977794975042343, epochs needed: 50
evaluating individudal 9 - 7e34bdb93f1ba44f. Mean loss in evaluation epoch: 0.1063675805926323, epochs needed: 50
evaluating individudal 10 - 0c80f22dd4975313. Mean loss in evaluation epoch: 0.10778091102838516, epochs needed: 50
evaluating individudal 11 - 6877ffd562a3dc0b. Mean loss in evaluation epoch: 0.1084633395075798, epochs needed: 50
evaluating individudal 12 - 37f4c09a6718f28b. Mean loss in evaluation epoch: 0.10754630714654922, epochs needed: 50
evaluating individudal 13 - b587b6dc7e5a216d. Mean loss in evaluation epoch: 0.10724154859781265, epochs needed: 50
evaluating individudal 14 - 97ac282cd8cd7393. Mean loss in evaluation epoch: 0.10772237926721573, epochs needed: 50
evaluating individudal 15 - 890931392dadfcc7. Mean loss in evaluation epoch: 0.1077658161520958, epochs needed: 50
evaluating individudal 16 - fbb7100d3d6d8004. Mean loss in evaluation epoch: 0.1073654443025589, epochs needed: 50
evaluating individudal 17 - ea77120c5910df22. Mean loss in evaluation epoch: 0.10791941732168198, epochs needed: 50
evaluating individudal 18 - f1060beb92b7bdf7. Mean loss in evaluation epoch: 0.10955452173948288, epochs needed: 50
evaluating individudal 19 - 29814fa454849750. Mean loss in evaluation epoch: 0.10668691247701645, epochs needed: 50
evaluating individudal 20 - 2ef808b9d0a798e1. Mean loss in evaluation epoch: 0.1078912615776062, epochs needed: 50
evaluating individudal 21 - 1a291e911d711977. Mean loss in evaluation epoch: 0.10662292689085007, epochs needed: 50
evaluating individudal 22 - 404af2df7ece7ad4. Mean loss in evaluation epoch: 0.10715067386627197, epochs needed: 50
evaluating individudal 23 - a4d68f547ac62e00. Mean loss in evaluation epoch: 0.10684897750616074, epochs needed: 50
evaluating individudal 24 - 626c982be39e6215. Mean loss in evaluation epoch: 0.10785920917987823, epochs needed: 50
evaluating individudal 25 - 8093b3dc45eb245b. Mean loss in evaluation epoch: 0.10818623751401901, epochs needed: 50
evaluating individudal 26 - 070de4d3a21905b9. Mean loss in evaluation epoch: 0.1066054254770279, epochs needed: 50
evaluating individudal 27 - 684d910f81db28c6. Mean loss in evaluation epoch: 0.10757719725370407, epochs needed: 50
evaluating individudal 28 - da849b743669a10c. Mean loss in evaluation epoch: 0.10688542574644089, epochs needed: 50
evaluating individudal 29 - 423ed5d460348fbc. Mean loss in evaluation epoch: 0.10679767280817032, epochs needed: 50
evaluating individudal 30 - da9dc23bcd9532be. Mean loss in evaluation epoch: 0.1077892929315567, epochs needed: 50
evaluating individudal 31 - 07f447ea22c58f28. Mean loss in evaluation epoch: 0.1078573614358902, epochs needed: 50
evaluating individudal 32 - a02d75a976465989. Mean loss in evaluation epoch: 0.10682670027017593, epochs needed: 50
evaluating individudal 33 - 3b9be572639d971d. Mean loss in evaluation epoch: 0.10751686245203018, epochs needed: 50
evaluating individudal 34 - 3a771884613a18ca. Mean loss in evaluation epoch: 0.10516766458749771, epochs needed: 50
evaluating individudal 35 - b2a56bdb38165bd0. Mean loss in evaluation epoch: 0.10500416904687881, epochs needed: 50
evaluating individudal 36 - 5b616d57d525489a. Mean loss in evaluation epoch: 0.10796570032835007, epochs needed: 50
evaluating individudal 37 - 86a4a8955d61a066. Mean loss in evaluation epoch: 0.10665339231491089, epochs needed: 50
evaluating individudal 38 - 17d51faa1ef50173. Mean loss in evaluation epoch: 0.10807015746831894, epochs needed: 50
evaluating individudal 39 - 67a5d2b74b1fb051. Mean loss in evaluation epoch: 0.10613293945789337, epochs needed: 50
evaluating individudal 0 - 164bb5c8750a7298. Mean loss in evaluation epoch: 0.1088448166847229, epochs needed: 50
evaluating individudal 1 - 9e7d4f69616a2bf3. Mean loss in evaluation epoch: 0.10771327465772629, epochs needed: 50
evaluating individudal 2 - 2af0311375543fcc. Mean loss in evaluation epoch: 0.10693346709012985, epochs needed: 50
evaluating individudal 3 - 3b948c3225621791. Mean loss in evaluation epoch: 0.11245214939117432, epochs needed: 50
evaluating individudal 4 - 2392f9065e36d7ac. Mean loss in evaluation epoch: 0.10852058231830597, epochs needed: 50
evaluating individudal 5 - 4c4d05e7ae127057. Mean loss in evaluation epoch: 0.10799789428710938, epochs needed: 50
evaluating individudal 6 - 67c65d7509f51ecb. Mean loss in evaluation epoch: 0.10886628925800323, epochs needed: 50
evaluating individudal 7 - b5b19d29e68238ab. Mean loss in evaluation epoch: 0.10767922550439835, epochs needed: 50
evaluating individudal 8 - 39121dc68d536318. Mean loss in evaluation epoch: 0.10776948928833008, epochs needed: 50
evaluating individudal 9 - 7a91120f48e5bfd9. Mean loss in evaluation epoch: 0.10852235555648804, epochs needed: 50
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: b2a56bdb38165bd0, num_times_seen_before: 0
ACC: 0.6526315789473685
TPR/FPR: 0.9444444444444444, 0.4155844155844156
Loss: 0.10500416904687881
Timestamp: 3986.209466012995
---------------------------------------------------------------
evaluating individudal 0 - 895479f4ddfeb272. Mean loss in evaluation epoch: 0.10407149791717529, epochs needed: 50
evaluating individudal 1 - e6605fdc8ccd2319. Mean loss in evaluation epoch: 0.10477723181247711, epochs needed: 50
evaluating individudal 2 - e0459b56c566feff. Mean loss in evaluation epoch: 0.10503613948822021, epochs needed: 50
evaluating individudal 3 - 08c36eea95745623. Mean loss in evaluation epoch: 0.10394877195358276, epochs needed: 50
evaluating individudal 4 - 79162fba63a75b11. Mean loss in evaluation epoch: 0.10497496277093887, epochs needed: 50
evaluating individudal 5 - ff34767ea5d424ca. Mean loss in evaluation epoch: 0.10466726124286652, epochs needed: 50
evaluating individudal 6 - 5012a58162a3cc8c. Mean loss in evaluation epoch: 0.1046452671289444, epochs needed: 50
evaluating individudal 7 - c89dc77f577172f6. Mean loss in evaluation epoch: 0.1030496135354042, epochs needed: 50
evaluating individudal 8 - 3f0566addba5e746. Mean loss in evaluation epoch: 0.10367026180028915, epochs needed: 50
evaluating individudal 9 - d7b139e2abee958a. Mean loss in evaluation epoch: 0.10416203737258911, epochs needed: 50
evaluating individudal 10 - 7e60a0061e0aea2a. Mean loss in evaluation epoch: 0.10312390327453613, epochs needed: 50
evaluating individudal 11 - 7e752d641ac41b97. Mean loss in evaluation epoch: 0.10482697933912277, epochs needed: 50
evaluating individudal 12 - 99841bf5c02ea788. Mean loss in evaluation epoch: 0.10293249040842056, epochs needed: 50
evaluating individudal 13 - 8206f0cdae71cfd6. Mean loss in evaluation epoch: 0.10281729698181152, epochs needed: 50
evaluating individudal 14 - aa6f1251133f1d9a. Mean loss in evaluation epoch: 0.10413096100091934, epochs needed: 50
evaluating individudal 15 - 0e82a68791ad4b05. Mean loss in evaluation epoch: 0.10315626114606857, epochs needed: 50
evaluating individudal 16 - 5c0dd1010b2f0c77. Mean loss in evaluation epoch: 0.10383858531713486, epochs needed: 50
evaluating individudal 17 - 7134c2602646db2d. Mean loss in evaluation epoch: 0.1029452309012413, epochs needed: 50
evaluating individudal 18 - 52571c73cb142dc3. Mean loss in evaluation epoch: 0.10481100529432297, epochs needed: 50
evaluating individudal 19 - 4d5ee394077a9be6. Mean loss in evaluation epoch: 0.10290347784757614, epochs needed: 50
evaluating individudal 20 - c955b7b009c39735. Mean loss in evaluation epoch: 0.1011996790766716, epochs needed: 50
evaluating individudal 21 - 1bc3aa40c00eb0d7. Mean loss in evaluation epoch: 0.10267328470945358, epochs needed: 50
evaluating individudal 22 - 20e60d3ee9ddc167. Mean loss in evaluation epoch: 0.1018262431025505, epochs needed: 50
evaluating individudal 23 - 54676b8d4301d182. Mean loss in evaluation epoch: 0.10179653018712997, epochs needed: 50
evaluating individudal 24 - 8bb9b618d0949326. Mean loss in evaluation epoch: 0.10469868034124374, epochs needed: 50
evaluating individudal 25 - 5a3aeafbf7502f5a. Mean loss in evaluation epoch: 0.10185646265745163, epochs needed: 50
evaluating individudal 26 - 765cc376dcce6fa4. Mean loss in evaluation epoch: 0.10249059647321701, epochs needed: 50
evaluating individudal 27 - 5238f563b04e5a45. Mean loss in evaluation epoch: 0.1026078388094902, epochs needed: 50
evaluating individudal 28 - 51915677c8add05f. Mean loss in evaluation epoch: 0.10525697469711304, epochs needed: 50
evaluating individudal 29 - 37ebc8aefc850808. Mean loss in evaluation epoch: 0.10168967396020889, epochs needed: 50
evaluating individudal 30 - 92bdf0ea150e0c34. Mean loss in evaluation epoch: 0.10196633636951447, epochs needed: 50
evaluating individudal 31 - 74d4d3779b2c9145. Mean loss in evaluation epoch: 0.10551072657108307, epochs needed: 50
evaluating individudal 32 - 9c5fc3655251041f. Mean loss in evaluation epoch: 0.10194782167673111, epochs needed: 50
evaluating individudal 33 - d25789103b9fc8ba. Mean loss in evaluation epoch: 0.10419142246246338, epochs needed: 50
evaluating individudal 34 - cd42b686e9f26370. Mean loss in evaluation epoch: 0.10423509031534195, epochs needed: 50
evaluating individudal 35 - 22188b59caf3e4c5. Mean loss in evaluation epoch: 0.10012613981962204, epochs needed: 50
evaluating individudal 36 - 5ce2877014545327. Mean loss in evaluation epoch: 0.10228323191404343, epochs needed: 50
evaluating individudal 37 - 9e4ef0987e63bf9e. Mean loss in evaluation epoch: 0.10443343222141266, epochs needed: 50
evaluating individudal 38 - 3d05931285740c7e. Mean loss in evaluation epoch: 0.10254800319671631, epochs needed: 50
evaluating individudal 39 - fc8d25087225c3cc. Mean loss in evaluation epoch: 0.10156072676181793, epochs needed: 50
evaluating individudal 0 - b2a56bdb38165bd0. Mean loss in evaluation epoch: 0.10266082733869553, epochs needed: 50
evaluating individudal 1 - 3a771884613a18ca. Mean loss in evaluation epoch: 0.10379306226968765, epochs needed: 50
evaluating individudal 2 - 67a5d2b74b1fb051. Mean loss in evaluation epoch: 0.10526394844055176, epochs needed: 50
evaluating individudal 3 - c16054dbc4ff2716. Mean loss in evaluation epoch: 0.1036728248000145, epochs needed: 50
evaluating individudal 4 - 7e34bdb93f1ba44f. Mean loss in evaluation epoch: 0.1081417128443718, epochs needed: 50
evaluating individudal 5 - 070de4d3a21905b9. Mean loss in evaluation epoch: 0.1073303148150444, epochs needed: 50
evaluating individudal 6 - 1a291e911d711977. Mean loss in evaluation epoch: 0.10525963455438614, epochs needed: 50
evaluating individudal 7 - 86a4a8955d61a066. Mean loss in evaluation epoch: 0.10434731096029282, epochs needed: 50
evaluating individudal 8 - 29814fa454849750. Mean loss in evaluation epoch: 0.10408182442188263, epochs needed: 50
evaluating individudal 9 - 423ed5d460348fbc. Mean loss in evaluation epoch: 0.10557577759027481, epochs needed: 50
Round 4 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 22188b59caf3e4c5, num_times_seen_before: 0
ACC: 0.7421052631578947
TPR/FPR: 0.9722222222222222, 0.3116883116883117
Loss: 0.10012613981962204
Timestamp: 4676.384820484993
---------------------------------------------------------------
evaluating individudal 0 - 5c679ce373ca9bde. Mean loss in evaluation epoch: 0.10009892284870148, epochs needed: 50
evaluating individudal 1 - 4d6db66979488396. Mean loss in evaluation epoch: 0.0985354408621788, epochs needed: 50
evaluating individudal 2 - 0ebd01b4f53d78a6. Mean loss in evaluation epoch: 0.10035701096057892, epochs needed: 50
evaluating individudal 3 - d469e6d114bf4104. Mean loss in evaluation epoch: 0.10184259712696075, epochs needed: 50
evaluating individudal 4 - b117ac32e9329f86. Mean loss in evaluation epoch: 0.09892606735229492, epochs needed: 50
evaluating individudal 5 - a205a98b2202da09. Mean loss in evaluation epoch: 0.09850703924894333, epochs needed: 50
evaluating individudal 6 - ebd377619940225f. Mean loss in evaluation epoch: 0.09856706857681274, epochs needed: 50
evaluating individudal 7 - ac870f071a27b51b. Mean loss in evaluation epoch: 0.09571659564971924, epochs needed: 50
